date,baseline,series_id,minus20,plus20,model
2025-07-01,3.8156676,E-coli__Amikacin__East Midlands,3.8156676,3.8156676,xgb
2025-08-01,3.1079655,E-coli__Amikacin__East Midlands,3.1079655,3.1079655,xgb
2025-09-01,2.9700449,E-coli__Amikacin__East Midlands,2.9700449,2.9700449,xgb
2025-10-01,2.7592905,E-coli__Amikacin__East Midlands,2.7592905,2.7592905,xgb
2025-11-01,2.6877441,E-coli__Amikacin__East Midlands,2.6877441,2.7355137,xgb
2025-12-01,2.69771,E-coli__Amikacin__East Midlands,2.6966767,2.6996741,xgb
2025-07-01,2.8626835,E-coli__Amikacin__East of England,2.8626835,2.8626835,xgb
2025-08-01,2.914938,E-coli__Amikacin__East of England,2.914938,3.07446,xgb
2025-09-01,2.9194708,E-coli__Amikacin__East of England,2.9194708,3.0765884,xgb
2025-10-01,3.0125427,E-coli__Amikacin__East of England,3.0125427,3.1696603,xgb
2025-11-01,3.2737384,E-coli__Amikacin__East of England,3.2737384,3.445665,xgb
2025-12-01,3.400264,E-coli__Amikacin__East of England,3.400264,3.4981616,xgb
2025-07-01,2.8231382,E-coli__Amikacin__London,2.8231382,2.8231382,xgb
2025-08-01,2.698222,E-coli__Amikacin__London,2.698222,2.698222,xgb
2025-09-01,3.067049,E-coli__Amikacin__London,3.067049,3.067049,xgb
2025-10-01,3.096553,E-coli__Amikacin__London,3.096553,3.096553,xgb
2025-11-01,3.1012418,E-coli__Amikacin__London,3.1012418,3.1012418,xgb
2025-12-01,3.0365002,E-coli__Amikacin__London,3.0365002,3.0365002,xgb
2025-07-01,0.28604206,E-coli__Amikacin__North East,0.28604206,0.28604206,xgb
2025-08-01,0.7781767,E-coli__Amikacin__North East,0.7781767,0.7781767,xgb
2025-09-01,0.8187941,E-coli__Amikacin__North East,0.8187941,0.8187941,xgb
2025-10-01,0.7183311,E-coli__Amikacin__North East,0.7183311,0.7183311,xgb
2025-11-01,1.6224722,E-coli__Amikacin__North East,1.6224722,1.6224722,xgb
2025-12-01,0.96002316,E-coli__Amikacin__North East,0.96002316,0.96002316,xgb
2025-07-01,2.823713,E-coli__Amikacin__North West,2.823713,2.823713,xgb
2025-08-01,2.5407703,E-coli__Amikacin__North West,2.5407703,2.5407703,xgb
2025-09-01,3.0022745,E-coli__Amikacin__North West,3.0022745,3.0022745,xgb
2025-10-01,3.4857786,E-coli__Amikacin__North West,3.4857786,3.4380825,xgb
2025-11-01,3.541318,E-coli__Amikacin__North West,3.541318,3.5505,xgb
2025-12-01,3.549061,E-coli__Amikacin__North West,3.549061,3.548877,xgb
2025-07-01,2.1817865,E-coli__Amikacin__South East,2.1817865,2.1817865,xgb
2025-08-01,2.241886,E-coli__Amikacin__South East,2.241886,2.241886,xgb
2025-09-01,3.100373,E-coli__Amikacin__South East,3.0010588,3.100373,xgb
2025-10-01,2.1601136,E-coli__Amikacin__South East,2.1601136,2.1601136,xgb
2025-11-01,3.3084269,E-coli__Amikacin__South East,3.2218165,3.3084269,xgb
2025-12-01,3.2612205,E-coli__Amikacin__South East,3.1889653,3.2612205,xgb
2025-07-01,2.014595,E-coli__Amikacin__South West,2.014595,2.014595,xgb
2025-08-01,2.2305198,E-coli__Amikacin__South West,2.2305198,2.2305198,xgb
2025-09-01,2.2773488,E-coli__Amikacin__South West,2.2773488,2.2773488,xgb
2025-10-01,2.4093196,E-coli__Amikacin__South West,2.4093196,2.4093196,xgb
2025-11-01,2.3393319,E-coli__Amikacin__South West,2.3393319,2.3589075,xgb
2025-12-01,2.1961963,E-coli__Amikacin__South West,2.1961963,2.2157922,xgb
2025-07-01,4.9126186,E-coli__Amikacin__West Midlands,4.9126186,4.9126186,xgb
2025-08-01,4.222455,E-coli__Amikacin__West Midlands,4.222455,4.222722,xgb
2025-09-01,4.2473545,E-coli__Amikacin__West Midlands,4.2473545,4.2476215,xgb
2025-10-01,3.8843236,E-coli__Amikacin__West Midlands,3.8843236,4.077866,xgb
2025-11-01,3.6578815,E-coli__Amikacin__West Midlands,3.6578815,3.9192905,xgb
2025-12-01,3.8108857,E-coli__Amikacin__West Midlands,3.8108857,3.7399337,xgb
2025-07-01,2.55217,E-coli__Amikacin__Yorkshire and Humber,2.55217,2.55217,xgb
2025-08-01,2.1176121,E-coli__Amikacin__Yorkshire and Humber,2.1176121,2.1176121,xgb
2025-09-01,2.0673068,E-coli__Amikacin__Yorkshire and Humber,2.0673068,2.0673068,xgb
2025-10-01,2.2373614,E-coli__Amikacin__Yorkshire and Humber,2.2373614,2.2373614,xgb
2025-11-01,1.987131,E-coli__Amikacin__Yorkshire and Humber,1.987131,1.987131,xgb
2025-12-01,2.1637263,E-coli__Amikacin__Yorkshire and Humber,2.1637263,2.1637263,xgb
2025-07-01,0.2911706,E-coli__Carbapenems__East Midlands,0.2911706,0.2911706,xgb
2025-08-01,0.28348908,E-coli__Carbapenems__East Midlands,0.28348908,0.28332362,xgb
2025-09-01,0.09331996,E-coli__Carbapenems__East Midlands,0.09331996,0.092697725,xgb
2025-10-01,0.18316817,E-coli__Carbapenems__East Midlands,0.18316817,0.1823203,xgb
2025-11-01,0.22680742,E-coli__Carbapenems__East Midlands,0.22680742,0.22580793,xgb
