,mae,rmse,model
E-coli__Amikacin__East Midlands,0.19603327548099783,0.24722513125618892,XGB-Direct
E-coli__Amikacin__East of England,0.15265468019026296,0.18938480960370432,XGB-Direct
E-coli__Amikacin__London,0.38093479892293497,0.41986875041137495,XGB-Direct
E-coli__Amikacin__North East,0.2087543031111132,0.24298484307604576,XGB-Direct
E-coli__Amikacin__North West,0.1968202072698458,0.22341698309330246,XGB-Direct
E-coli__Amikacin__South East,0.30079761131604515,0.3402072913456717,XGB-Direct
E-coli__Amikacin__South West,0.18305453613876757,0.23598050195000972,XGB-Direct
E-coli__Amikacin__West Midlands,0.24335320837634086,0.2735502292467492,XGB-Direct
E-coli__Amikacin__Yorkshire and Humber,0.4220479849927723,0.4439819482512719,XGB-Direct
E-coli__Carbapenems__East Midlands,0.2710186293065393,0.3118231024556295,XGB-Direct
E-coli__Carbapenems__East of England,0.44422330248726566,0.5002512413906846,XGB-Direct
E-coli__Carbapenems__London,0.2341081292018302,0.2960455999291213,XGB-Direct
E-coli__Carbapenems__North East,0.33016182240575315,0.4669506732179795,XGB-Direct
E-coli__Carbapenems__North West,0.2418052058804918,0.3130224937261618,XGB-Direct
E-coli__Carbapenems__South East,0.3554048466461676,0.4146874971233237,XGB-Direct
E-coli__Carbapenems__South West,0.46672289108526593,0.5432126226365358,XGB-Direct
E-coli__Carbapenems__West Midlands,0.3605958647578698,0.3791271033903159,XGB-Direct
E-coli__Carbapenems__Yorkshire and Humber,0.3312168392870162,0.4646087867869064,XGB-Direct
E-coli__Ciprofloxacin__East Midlands,0.22500008921254633,0.2786674265013403,XGB-Direct
E-coli__Ciprofloxacin__East of England,0.43818211346614566,0.5102277423975321,XGB-Direct
E-coli__Ciprofloxacin__London,0.16939917283180436,0.2076436563025699,XGB-Direct
E-coli__Ciprofloxacin__North East,0.2042246662228875,0.25643448766898463,XGB-Direct
E-coli__Ciprofloxacin__North West,0.1714293184209632,0.22134760532627026,XGB-Direct
E-coli__Ciprofloxacin__South East,0.30952445339588913,0.3713524732259249,XGB-Direct
E-coli__Ciprofloxacin__South West,0.39470721103304857,0.44227068562103605,XGB-Direct
E-coli__Ciprofloxacin__West Midlands,0.37004813316121027,0.4515373496774096,XGB-Direct
E-coli__Ciprofloxacin__Yorkshire and Humber,0.2553449212661328,0.3001169740679986,XGB-Direct
E-coli__Co-amoxiclav__East Midlands,0.23255479995858494,0.2875225768821715,XGB-Direct
E-coli__Co-amoxiclav__East of England,0.20416629485003535,0.24691039986847177,XGB-Direct
E-coli__Co-amoxiclav__London,0.2394839213931057,0.24720246008025296,XGB-Direct
E-coli__Co-amoxiclav__North East,0.20827753740671598,0.258001027852568,XGB-Direct
E-coli__Co-amoxiclav__North West,0.13664202755997742,0.1583875642724883,XGB-Direct
E-coli__Co-amoxiclav__South East,0.22293412474980304,0.2873922682712235,XGB-Direct
E-coli__Co-amoxiclav__South West,0.16477843310533613,0.20890883259001958,XGB-Direct
E-coli__Co-amoxiclav__West Midlands,0.38821450342297076,0.4132290615018512,XGB-Direct
E-coli__Co-amoxiclav__Yorkshire and Humber,0.37334504876663493,0.3879139261351052,XGB-Direct
E-coli__Gentamicin__East Midlands,0.10251323295676192,0.13362379701937124,XGB-Direct
E-coli__Gentamicin__East of England,0.3395370698024653,0.38853850230174386,XGB-Direct
E-coli__Gentamicin__London,0.2909049086450663,0.3704645492124848,XGB-Direct
E-coli__Gentamicin__North East,0.3697005144474271,0.4032732801114883,XGB-Direct
E-coli__Gentamicin__North West,0.2320263176977455,0.29185544712860506,XGB-Direct
E-coli__Gentamicin__South East,0.222424741685774,0.275743910682049,XGB-Direct
E-coli__Gentamicin__South West,0.22413878486772307,0.2613904652623767,XGB-Direct
E-coli__Gentamicin__West Midlands,0.2610055120882168,0.2995431671872963,XGB-Direct
E-coli__Gentamicin__Yorkshire and Humber,0.17631510390017482,0.22865635863481437,XGB-Direct
E-coli__Piperacillin with tazobactam__East Midlands,0.07914905796732226,0.08908767049925302,XGB-Direct
E-coli__Piperacillin with tazobactam__East of England,0.18445758092153167,0.2438178276498808,XGB-Direct
E-coli__Piperacillin with tazobactam__London,0.16069983300212384,0.22011611238308176,XGB-Direct
E-coli__Piperacillin with tazobactam__North East,0.33208798837529624,0.36587351071945234,XGB-Direct
E-coli__Piperacillin with tazobactam__North West,0.18113333420927122,0.2321764197961526,XGB-Direct
E-coli__Piperacillin with tazobactam__South East,0.24259737689761238,0.27194717492130926,XGB-Direct
E-coli__Piperacillin with tazobactam__South West,0.3207150726697341,0.37411147202538475,XGB-Direct
E-coli__Piperacillin with tazobactam__West Midlands,0.3803157007001387,0.39360680494639244,XGB-Direct
E-coli__Piperacillin with tazobactam__Yorkshire and Humber,0.11750088359261202,0.1592189469164864,XGB-Direct
E-coli__Third Generation Cephalosporins__East Midlands,0.1966093417888131,0.2161728451604656,XGB-Direct
E-coli__Third Generation Cephalosporins__East of England,0.242573255410189,0.3000930464781249,XGB-Direct
E-coli__Third Generation Cephalosporins__London,0.3157193253599251,0.34750018114285636,XGB-Direct
E-coli__Third Generation Cephalosporins__North East,0.21932001748107263,0.30104325846462293,XGB-Direct
E-coli__Third Generation Cephalosporins__North West,0.29161845549344334,0.3160386254124511,XGB-Direct
E-coli__Third Generation Cephalosporins__South East,0.19513650392982873,0.22010380492983772,XGB-Direct
E-coli__Third Generation Cephalosporins__South West,0.2499506701261569,0.2722461810315059,XGB-Direct
E-coli__Third Generation Cephalosporins__West Midlands,0.30148589290558775,0.3164359892167062,XGB-Direct
E-coli__Third Generation Cephalosporins__Yorkshire and Humber,0.21042254019862572,0.26804712318944995,XGB-Direct
K-pneumoniae__Amikacin__East Midlands,0.34898333977731616,0.3603340007401284,XGB-Direct
K-pneumoniae__Amikacin__East of England,0.29588802704760975,0.3181175030472249,XGB-Direct
K-pneumoniae__Amikacin__London,0.1510565857429041,0.1789355072210699,XGB-Direct
K-pneumoniae__Amikacin__North East,0.2018694282392335,0.22912187918122284,XGB-Direct
K-pneumoniae__Amikacin__North West,0.1806883666993809,0.235124942234387,XGB-Direct
K-pneumoniae__Amikacin__South East,0.1648729105382205,0.19764067506404387,XGB-Direct
K-pneumoniae__Amikacin__South West,0.1740355969317641,0.24444987705593427,XGB-Direct
K-pneumoniae__Amikacin__West Midlands,0.4143618250982119,0.5045980723860111,XGB-Direct
K-pneumoniae__Amikacin__Yorkshire and Humber,0.3159231849607494,0.3996970653399136,XGB-Direct
K-pneumoniae__Carbapenems__East Midlands,0.3852816281147186,0.3942942722493602,XGB-Direct
K-pneumoniae__Carbapenems__East of England,0.2733099488691352,0.31734228615286597,XGB-Direct
K-pneumoniae__Carbapenems__London,0.24731678186639172,0.3118333396838985,XGB-Direct
K-pneumoniae__Carbapenems__North East,0.18351610368304874,0.20472685046677502,XGB-Direct
K-pneumoniae__Carbapenems__North West,0.1386236468585235,0.18286291562117932,XGB-Direct
K-pneumoniae__Carbapenems__South East,0.3540849356795661,0.4092872512187084,XGB-Direct
K-pneumoniae__Carbapenems__South West,0.3402343676341208,0.4908892000710982,XGB-Direct
K-pneumoniae__Carbapenems__West Midlands,0.16216694474868892,0.18582693196947467,XGB-Direct
K-pneumoniae__Carbapenems__Yorkshire and Humber,0.24261141475980588,0.2850132030455712,XGB-Direct
K-pneumoniae__Ciprofloxacin__East Midlands,0.26412036150908846,0.3048238632088178,XGB-Direct
K-pneumoniae__Ciprofloxacin__East of England,0.25154860784264726,0.2885581817300224,XGB-Direct
K-pneumoniae__Ciprofloxacin__London,0.3853716838539405,0.4183498664747944,XGB-Direct
K-pneumoniae__Ciprofloxacin__North East,0.13082860349385314,0.14831854910456174,XGB-Direct
K-pneumoniae__Ciprofloxacin__North West,0.17924713953613625,0.21375367624708586,XGB-Direct
K-pneumoniae__Ciprofloxacin__South East,0.3437130414937901,0.3682439607244749,XGB-Direct
K-pneumoniae__Ciprofloxacin__South West,0.25771234884722843,0.30101066900853646,XGB-Direct
K-pneumoniae__Ciprofloxacin__West Midlands,0.12185740514415971,0.17564778954631224,XGB-Direct
K-pneumoniae__Ciprofloxacin__Yorkshire and Humber,0.18551541694361176,0.2139323418453016,XGB-Direct
K-pneumoniae__Co-amoxiclav__East Midlands,0.43878890113179453,0.4758911070401514,XGB-Direct
K-pneumoniae__Co-amoxiclav__East of England,0.3162216429616557,0.35599114257943176,XGB-Direct
K-pneumoniae__Co-amoxiclav__London,0.1326790363175391,0.1692882787581201,XGB-Direct
K-pneumoniae__Co-amoxiclav__North East,0.18906977800231006,0.2100375074768647,XGB-Direct
K-pneumoniae__Co-amoxiclav__North West,0.2946380685262881,0.3832085291406912,XGB-Direct
K-pneumoniae__Co-amoxiclav__South East,0.31123621343590074,0.33505076229431546,XGB-Direct
K-pneumoniae__Co-amoxiclav__South West,0.22504466955904953,0.30069192768544856,XGB-Direct
K-pneumoniae__Co-amoxiclav__West Midlands,0.2926875686927624,0.3537636922027962,XGB-Direct
K-pneumoniae__Co-amoxiclav__Yorkshire and Humber,0.22247830416280615,0.2561121996951969,XGB-Direct
K-pneumoniae__Gentamicin__East Midlands,0.23408325788941528,0.2832591916145238,XGB-Direct
K-pneumoniae__Gentamicin__East of England,0.15146288573600905,0.17351019878469282,XGB-Direct
K-pneumoniae__Gentamicin__London,0.18355045270325598,0.2163788806931778,XGB-Direct
K-pneumoniae__Gentamicin__North East,0.15879088315468695,0.23158475866168063,XGB-Direct
K-pneumoniae__Gentamicin__North West,0.34279180155285355,0.3730085747533777,XGB-Direct
