,mae,rmse,model
E-coli__Amikacin__East Midlands,0.26692446528409675,0.2829009287675991,LSTM-Direct
E-coli__Amikacin__East of England,0.1517882343604499,0.21421313350067892,LSTM-Direct
E-coli__Amikacin__London,0.29585171594602916,0.3377265657952051,LSTM-Direct
E-coli__Amikacin__North East,0.1961797307139248,0.23093548557778687,LSTM-Direct
E-coli__Amikacin__North West,0.20740519736022023,0.23872764593441717,LSTM-Direct
E-coli__Amikacin__South East,0.30410260909424314,0.3689549609161808,LSTM-Direct
E-coli__Amikacin__South West,0.2130047126019153,0.25682885807587597,LSTM-Direct
E-coli__Amikacin__West Midlands,0.23018575436868924,0.2886945042570678,LSTM-Direct
E-coli__Amikacin__Yorkshire and Humber,0.311326038501824,0.3580520720029913,LSTM-Direct
E-coli__Carbapenems__East Midlands,0.21980571164072868,0.2560441131696805,LSTM-Direct
E-coli__Carbapenems__East of England,0.25260712920967127,0.3075458240584488,LSTM-Direct
E-coli__Carbapenems__London,0.27069952055157687,0.3070329227375716,LSTM-Direct
E-coli__Carbapenems__North East,0.24795355017052254,0.3552025856383666,LSTM-Direct
E-coli__Carbapenems__North West,0.18903307959897842,0.304593080315658,LSTM-Direct
E-coli__Carbapenems__South East,0.2672351422925811,0.3627237068251542,LSTM-Direct
E-coli__Carbapenems__South West,0.3328078727425587,0.37826803373313117,LSTM-Direct
E-coli__Carbapenems__West Midlands,0.27334706822339827,0.3414952328792983,LSTM-Direct
E-coli__Carbapenems__Yorkshire and Humber,0.22743783265833653,0.3062638373539988,LSTM-Direct
E-coli__Ciprofloxacin__East Midlands,0.2972500020456797,0.3757572905765577,LSTM-Direct
E-coli__Ciprofloxacin__East of England,0.35469382290963963,0.38370044568780487,LSTM-Direct
E-coli__Ciprofloxacin__London,0.14156618928476616,0.17403939923631814,LSTM-Direct
E-coli__Ciprofloxacin__North East,0.16519822423940836,0.2122538108299549,LSTM-Direct
E-coli__Ciprofloxacin__North West,0.2620651694683886,0.29847403712275167,LSTM-Direct
E-coli__Ciprofloxacin__South East,0.29974397178926304,0.36282542127025813,LSTM-Direct
E-coli__Ciprofloxacin__South West,0.28555525290721023,0.3732262769768861,LSTM-Direct
E-coli__Ciprofloxacin__West Midlands,0.26697849082997976,0.30996639032597634,LSTM-Direct
E-coli__Ciprofloxacin__Yorkshire and Humber,0.21873414438083438,0.2791878560548058,LSTM-Direct
E-coli__Co-amoxiclav__East Midlands,0.27849463718011164,0.3151185322647141,LSTM-Direct
E-coli__Co-amoxiclav__East of England,0.1725777335898785,0.2509434624429105,LSTM-Direct
E-coli__Co-amoxiclav__London,0.17117822652435735,0.1773248419682112,LSTM-Direct
E-coli__Co-amoxiclav__North East,0.19534896856864195,0.22683981946734738,LSTM-Direct
E-coli__Co-amoxiclav__North West,0.18842641235887156,0.2171908836347819,LSTM-Direct
E-coli__Co-amoxiclav__South East,0.14594293389039367,0.1815075443400674,LSTM-Direct
E-coli__Co-amoxiclav__South West,0.11876610434557368,0.13782629653373527,LSTM-Direct
E-coli__Co-amoxiclav__West Midlands,0.2935686591427252,0.3417311351781388,LSTM-Direct
E-coli__Co-amoxiclav__Yorkshire and Humber,0.2547489794331312,0.2712094496132743,LSTM-Direct
