geography,stratum,date,resistance_pct,organism
East Midlands,Glycopeptides,2020-08-01,22.67,e_faecalis
East Midlands,Glycopeptides,2020-09-01,20.67,e_faecalis
East Midlands,Glycopeptides,2020-10-01,18.67,e_faecalis
East Midlands,Glycopeptides,2020-11-01,22.0,e_faecalis
East Midlands,Glycopeptides,2020-12-01,24.67,e_faecalis
East Midlands,Glycopeptides,2021-01-01,33.67,e_faecalis
East Midlands,Glycopeptides,2021-02-01,36.67,e_faecalis
East Midlands,Glycopeptides,2021-03-01,41.33,e_faecalis
East Midlands,Glycopeptides,2021-04-01,39.67,e_faecalis
East Midlands,Glycopeptides,2021-05-01,41.33,e_faecalis
East Midlands,Glycopeptides,2021-06-01,40.67,e_faecalis
East Midlands,Glycopeptides,2021-07-01,43.33,e_faecalis
East Midlands,Glycopeptides,2021-08-01,43.67,e_faecalis
East Midlands,Glycopeptides,2021-09-01,42.67,e_faecalis
East Midlands,Glycopeptides,2021-10-01,38.33,e_faecalis
East Midlands,Glycopeptides,2021-11-01,35.0,e_faecalis
East Midlands,Glycopeptides,2021-12-01,31.0,e_faecalis
East Midlands,Glycopeptides,2022-01-01,29.67,e_faecalis
East Midlands,Glycopeptides,2022-02-01,25.0,e_faecalis
East Midlands,Glycopeptides,2022-03-01,24.33,e_faecalis
East Midlands,Glycopeptides,2022-04-01,27.0,e_faecalis
East Midlands,Glycopeptides,2022-05-01,29.0,e_faecalis
East Midlands,Glycopeptides,2022-06-01,29.67,e_faecalis
East Midlands,Glycopeptides,2022-07-01,25.33,e_faecalis
East Midlands,Glycopeptides,2022-08-01,25.0,e_faecalis
East Midlands,Glycopeptides,2022-09-01,27.33,e_faecalis
East Midlands,Glycopeptides,2022-10-01,31.33,e_faecalis
East Midlands,Glycopeptides,2022-11-01,33.33,e_faecalis
East Midlands,Glycopeptides,2022-12-01,31.33,e_faecalis
East Midlands,Glycopeptides,2023-01-01,27.33,e_faecalis
East Midlands,Glycopeptides,2023-02-01,23.67,e_faecalis
East Midlands,Glycopeptides,2023-03-01,23.33,e_faecalis
East Midlands,Glycopeptides,2023-04-01,25.33,e_faecalis
East Midlands,Glycopeptides,2023-05-01,27.0,e_faecalis
East Midlands,Glycopeptides,2023-06-01,30.33,e_faecalis
East Midlands,Glycopeptides,2023-07-01,29.33,e_faecalis
East Midlands,Glycopeptides,2023-08-01,30.67,e_faecalis
East Midlands,Glycopeptides,2023-09-01,28.33,e_faecalis
East Midlands,Glycopeptides,2023-10-01,27.67,e_faecalis
East Midlands,Glycopeptides,2023-11-01,24.33,e_faecalis
East Midlands,Glycopeptides,2023-12-01,24.0,e_faecalis
East Midlands,Glycopeptides,2024-01-01,25.0,e_faecalis
East Midlands,Glycopeptides,2024-02-01,26.33,e_faecalis
East Midlands,Glycopeptides,2024-03-01,28.0,e_faecalis
East Midlands,Glycopeptides,2024-04-01,25.67,e_faecalis
East Midlands,Glycopeptides,2024-05-01,24.0,e_faecalis
East Midlands,Glycopeptides,2024-06-01,27.33,e_faecalis
East Midlands,Glycopeptides,2024-07-01,29.0,e_faecalis
East Midlands,Glycopeptides,2024-08-01,32.33,e_faecalis
East Midlands,Glycopeptides,2024-09-01,31.0,e_faecalis
East Midlands,Glycopeptides,2024-10-01,36.67,e_faecalis
East Midlands,Glycopeptides,2024-11-01,38.67,e_faecalis
East Midlands,Glycopeptides,2024-12-01,38.0,e_faecalis
East Midlands,Glycopeptides,2025-01-01,33.33,e_faecalis
East Midlands,Glycopeptides,2025-02-01,33.67,e_faecalis
East Midlands,Glycopeptides,2025-03-01,31.33,e_faecalis
East Midlands,Glycopeptides,2025-04-01,31.67,e_faecalis
East Midlands,Glycopeptides,2025-05-01,31.67,e_faecalis
East Midlands,Glycopeptides,2025-06-01,29.0,e_faecalis
East of England,Glycopeptides,2020-08-01,30.0,e_faecalis
East of England,Glycopeptides,2020-09-01,31.0,e_faecalis
East of England,Glycopeptides,2020-10-01,29.33,e_faecalis
East of England,Glycopeptides,2020-11-01,25.33,e_faecalis
East of England,Glycopeptides,2020-12-01,24.67,e_faecalis
East of England,Glycopeptides,2021-01-01,26.33,e_faecalis
East of England,Glycopeptides,2021-02-01,28.33,e_faecalis
East of England,Glycopeptides,2021-03-01,28.67,e_faecalis
East of England,Glycopeptides,2021-04-01,29.0,e_faecalis
East of England,Glycopeptides,2021-05-01,32.67,e_faecalis
East of England,Glycopeptides,2021-06-01,32.33,e_faecalis
East of England,Glycopeptides,2021-07-01,35.0,e_faecalis
East of England,Glycopeptides,2021-08-01,33.0,e_faecalis
East of England,Glycopeptides,2021-09-01,35.33,e_faecalis
East of England,Glycopeptides,2021-10-01,35.33,e_faecalis
East of England,Glycopeptides,2021-11-01,35.67,e_faecalis
East of England,Glycopeptides,2021-12-01,32.0,e_faecalis
East of England,Glycopeptides,2022-01-01,34.0,e_faecalis
East of England,Glycopeptides,2022-02-01,32.67,e_faecalis
East of England,Glycopeptides,2022-03-01,38.0,e_faecalis
East of England,Glycopeptides,2022-04-01,36.33,e_faecalis
East of England,Glycopeptides,2022-05-01,38.33,e_faecalis
East of England,Glycopeptides,2022-06-01,35.33,e_faecalis
East of England,Glycopeptides,2022-07-01,31.0,e_faecalis
East of England,Glycopeptides,2022-08-01,28.0,e_faecalis
East of England,Glycopeptides,2022-09-01,30.0,e_faecalis
East of England,Glycopeptides,2022-10-01,29.0,e_faecalis
East of England,Glycopeptides,2022-11-01,34.67,e_faecalis
East of England,Glycopeptides,2022-12-01,34.33,e_faecalis
East of England,Glycopeptides,2023-01-01,39.33,e_faecalis
East of England,Glycopeptides,2023-02-01,34.33,e_faecalis
East of England,Glycopeptides,2023-03-01,32.33,e_faecalis
East of England,Glycopeptides,2023-04-01,33.33,e_faecalis
East of England,Glycopeptides,2023-05-01,34.0,e_faecalis
East of England,Glycopeptides,2023-06-01,36.33,e_faecalis
East of England,Glycopeptides,2023-07-01,34.67,e_faecalis
East of England,Glycopeptides,2023-08-01,39.0,e_faecalis
East of England,Glycopeptides,2023-09-01,37.67,e_faecalis
East of England,Glycopeptides,2023-10-01,36.67,e_faecalis
East of England,Glycopeptides,2023-11-01,34.0,e_faecalis
East of England,Glycopeptides,2023-12-01,35.0,e_faecalis
East of England,Glycopeptides,2024-01-01,33.67,e_faecalis
East of England,Glycopeptides,2024-02-01,32.67,e_faecalis
East of England,Glycopeptides,2024-03-01,32.67,e_faecalis
East of England,Glycopeptides,2024-04-01,37.67,e_faecalis
East of England,Glycopeptides,2024-05-01,41.67,e_faecalis
East of England,Glycopeptides,2024-06-01,42.67,e_faecalis
East of England,Glycopeptides,2024-07-01,39.67,e_faecalis
East of England,Glycopeptides,2024-08-01,38.0,e_faecalis
East of England,Glycopeptides,2024-09-01,35.0,e_faecalis
East of England,Glycopeptides,2024-10-01,33.0,e_faecalis
East of England,Glycopeptides,2024-11-01,30.67,e_faecalis
East of England,Glycopeptides,2024-12-01,34.33,e_faecalis
East of England,Glycopeptides,2025-01-01,35.67,e_faecalis
East of England,Glycopeptides,2025-02-01,34.67,e_faecalis
East of England,Glycopeptides,2025-03-01,31.67,e_faecalis
East of England,Glycopeptides,2025-04-01,31.33,e_faecalis
East of England,Glycopeptides,2025-05-01,29.67,e_faecalis
East of England,Glycopeptides,2025-06-01,31.33,e_faecalis
London,Glycopeptides,2020-08-01,32.0,e_faecalis
London,Glycopeptides,2020-09-01,31.0,e_faecalis
London,Glycopeptides,2020-10-01,33.33,e_faecalis
London,Glycopeptides,2020-11-01,32.33,e_faecalis
London,Glycopeptides,2020-12-01,35.33,e_faecalis
London,Glycopeptides,2021-01-01,41.67,e_faecalis
London,Glycopeptides,2021-02-01,42.0,e_faecalis
London,Glycopeptides,2021-03-01,45.0,e_faecalis
London,Glycopeptides,2021-04-01,36.33,e_faecalis
London,Glycopeptides,2021-05-01,36.33,e_faecalis
London,Glycopeptides,2021-06-01,33.0,e_faecalis
London,Glycopeptides,2021-07-01,35.0,e_faecalis
London,Glycopeptides,2021-08-01,37.0,e_faecalis
London,Glycopeptides,2021-09-01,42.33,e_faecalis
London,Glycopeptides,2021-10-01,44.67,e_faecalis
London,Glycopeptides,2021-11-01,44.33,e_faecalis
London,Glycopeptides,2021-12-01,40.67,e_faecalis
London,Glycopeptides,2022-01-01,39.67,e_faecalis
London,Glycopeptides,2022-02-01,37.67,e_faecalis
London,Glycopeptides,2022-03-01,35.0,e_faecalis
London,Glycopeptides,2022-04-01,37.67,e_faecalis
London,Glycopeptides,2022-05-01,38.67,e_faecalis
London,Glycopeptides,2022-06-01,43.33,e_faecalis
London,Glycopeptides,2022-07-01,46.0,e_faecalis
London,Glycopeptides,2022-08-01,47.0,e_faecalis
London,Glycopeptides,2022-09-01,48.0,e_faecalis
London,Glycopeptides,2022-10-01,44.67,e_faecalis
London,Glycopeptides,2022-11-01,46.33,e_faecalis
London,Glycopeptides,2022-12-01,45.33,e_faecalis
London,Glycopeptides,2023-01-01,47.67,e_faecalis
London,Glycopeptides,2023-02-01,47.67,e_faecalis
London,Glycopeptides,2023-03-01,46.0,e_faecalis
London,Glycopeptides,2023-04-01,42.67,e_faecalis
London,Glycopeptides,2023-05-01,37.0,e_faecalis
London,Glycopeptides,2023-06-01,39.0,e_faecalis
London,Glycopeptides,2023-07-01,37.0,e_faecalis
London,Glycopeptides,2023-08-01,42.33,e_faecalis
London,Glycopeptides,2023-09-01,40.0,e_faecalis
London,Glycopeptides,2023-10-01,46.33,e_faecalis
London,Glycopeptides,2023-11-01,45.67,e_faecalis
London,Glycopeptides,2023-12-01,48.67,e_faecalis
London,Glycopeptides,2024-01-01,47.67,e_faecalis
London,Glycopeptides,2024-02-01,47.0,e_faecalis
London,Glycopeptides,2024-03-01,45.33,e_faecalis
London,Glycopeptides,2024-04-01,41.33,e_faecalis
London,Glycopeptides,2024-05-01,44.0,e_faecalis
London,Glycopeptides,2024-06-01,41.67,e_faecalis
London,Glycopeptides,2024-07-01,48.33,e_faecalis
London,Glycopeptides,2024-08-01,46.67,e_faecalis
London,Glycopeptides,2024-09-01,51.67,e_faecalis
London,Glycopeptides,2024-10-01,48.33,e_faecalis
London,Glycopeptides,2024-11-01,47.0,e_faecalis
London,Glycopeptides,2024-12-01,44.33,e_faecalis
London,Glycopeptides,2025-01-01,51.0,e_faecalis
London,Glycopeptides,2025-02-01,48.33,e_faecalis
London,Glycopeptides,2025-03-01,59.67,e_faecalis
London,Glycopeptides,2025-04-01,49.67,e_faecalis
London,Glycopeptides,2025-05-01,54.0,e_faecalis
London,Glycopeptides,2025-06-01,42.0,e_faecalis
North East,Glycopeptides,2020-08-01,12.67,e_faecalis
North East,Glycopeptides,2020-09-01,16.0,e_faecalis
North East,Glycopeptides,2020-10-01,16.0,e_faecalis
North East,Glycopeptides,2020-11-01,15.33,e_faecalis
North East,Glycopeptides,2020-12-01,13.0,e_faecalis
North East,Glycopeptides,2021-01-01,13.0,e_faecalis
North East,Glycopeptides,2021-02-01,13.33,e_faecalis
North East,Glycopeptides,2021-03-01,13.0,e_faecalis
North East,Glycopeptides,2021-04-01,12.67,e_faecalis
North East,Glycopeptides,2021-05-01,14.67,e_faecalis
North East,Glycopeptides,2021-06-01,14.67,e_faecalis
North East,Glycopeptides,2021-07-01,16.0,e_faecalis
North East,Glycopeptides,2021-08-01,15.33,e_faecalis
North East,Glycopeptides,2021-09-01,16.0,e_faecalis
North East,Glycopeptides,2021-10-01,15.0,e_faecalis
North East,Glycopeptides,2021-11-01,13.67,e_faecalis
North East,Glycopeptides,2021-12-01,12.33,e_faecalis
North East,Glycopeptides,2022-01-01,10.0,e_faecalis
North East,Glycopeptides,2022-02-01,12.33,e_faecalis
North East,Glycopeptides,2022-03-01,15.0,e_faecalis
North East,Glycopeptides,2022-04-01,20.0,e_faecalis
North East,Glycopeptides,2022-05-01,17.67,e_faecalis
North East,Glycopeptides,2022-06-01,16.33,e_faecalis
North East,Glycopeptides,2022-07-01,12.33,e_faecalis
North East,Glycopeptides,2022-08-01,15.0,e_faecalis
North East,Glycopeptides,2022-09-01,18.0,e_faecalis
North East,Glycopeptides,2022-10-01,17.67,e_faecalis
North East,Glycopeptides,2022-11-01,16.0,e_faecalis
North East,Glycopeptides,2022-12-01,12.0,e_faecalis
North East,Glycopeptides,2023-01-01,12.0,e_faecalis
North East,Glycopeptides,2023-02-01,10.67,e_faecalis
North East,Glycopeptides,2023-03-01,16.33,e_faecalis
North East,Glycopeptides,2023-04-01,16.67,e_faecalis
North East,Glycopeptides,2023-05-01,20.33,e_faecalis
North East,Glycopeptides,2023-06-01,14.0,e_faecalis
North East,Glycopeptides,2023-07-01,12.67,e_faecalis
North East,Glycopeptides,2023-08-01,10.33,e_faecalis
North East,Glycopeptides,2023-09-01,11.33,e_faecalis
North East,Glycopeptides,2023-10-01,13.0,e_faecalis
