geography,stratum,date,organism,resistance_pct
East Midlands,Amikacin,2020-10-01,E-coli,0.53
East Midlands,Amikacin,2020-11-01,E-coli,0.92
East Midlands,Amikacin,2020-12-01,E-coli,0.93
East Midlands,Amikacin,2021-01-01,E-coli,0.53
East Midlands,Amikacin,2021-02-01,E-coli,0.17
East Midlands,Amikacin,2021-03-01,E-coli,0.94
East Midlands,Amikacin,2021-04-01,E-coli,1.59
East Midlands,Amikacin,2021-05-01,E-coli,1.65
East Midlands,Amikacin,2021-06-01,E-coli,1.93
East Midlands,Amikacin,2021-07-01,E-coli,1.64
East Midlands,Amikacin,2021-08-01,E-coli,2.07
East Midlands,Amikacin,2021-09-01,E-coli,1.85
East Midlands,Amikacin,2021-10-01,E-coli,1.52
East Midlands,Amikacin,2021-11-01,E-coli,1.17
East Midlands,Amikacin,2021-12-01,E-coli,0.72
East Midlands,Amikacin,2022-01-01,E-coli,1.9
East Midlands,Amikacin,2022-02-01,E-coli,2.43
East Midlands,Amikacin,2022-03-01,E-coli,2.79
East Midlands,Amikacin,2022-04-01,E-coli,1.99
East Midlands,Amikacin,2022-05-01,E-coli,1.93
East Midlands,Amikacin,2022-06-01,E-coli,1.8
East Midlands,Amikacin,2022-07-01,E-coli,1.94
East Midlands,Amikacin,2022-08-01,E-coli,1.42
East Midlands,Amikacin,2022-09-01,E-coli,1.08
East Midlands,Amikacin,2022-10-01,E-coli,1.26
East Midlands,Amikacin,2022-11-01,E-coli,1.76
East Midlands,Amikacin,2022-12-01,E-coli,2.72
East Midlands,Amikacin,2023-01-01,E-coli,2.72
East Midlands,Amikacin,2023-02-01,E-coli,2.33
East Midlands,Amikacin,2023-03-01,E-coli,1.23
East Midlands,Amikacin,2023-04-01,E-coli,1.75
East Midlands,Amikacin,2023-05-01,E-coli,1.94
East Midlands,Amikacin,2023-06-01,E-coli,3.62
East Midlands,Amikacin,2023-07-01,E-coli,3.63
East Midlands,Amikacin,2023-08-01,E-coli,3.45
East Midlands,Amikacin,2023-09-01,E-coli,2.85
East Midlands,Amikacin,2023-10-01,E-coli,3.04
East Midlands,Amikacin,2023-11-01,E-coli,3.71
East Midlands,Amikacin,2023-12-01,E-coli,2.91
East Midlands,Amikacin,2024-01-01,E-coli,1.96
East Midlands,Amikacin,2024-02-01,E-coli,2.9
East Midlands,Amikacin,2024-03-01,E-coli,3.15
East Midlands,Amikacin,2024-04-01,E-coli,4.35
East Midlands,Amikacin,2024-05-01,E-coli,3.38
East Midlands,Amikacin,2024-06-01,E-coli,4.17
East Midlands,Amikacin,2024-07-01,E-coli,3.54
East Midlands,Amikacin,2024-08-01,E-coli,2.94
East Midlands,Amikacin,2024-09-01,E-coli,2.37
East Midlands,Amikacin,2024-10-01,E-coli,2.29
East Midlands,Amikacin,2024-11-01,E-coli,3.29
East Midlands,Amikacin,2024-12-01,E-coli,3.42
East Midlands,Amikacin,2025-01-01,E-coli,3.03
East Midlands,Amikacin,2025-02-01,E-coli,2.1
East Midlands,Amikacin,2025-03-01,E-coli,3.1
East Midlands,Amikacin,2025-04-01,E-coli,4.03
East Midlands,Amikacin,2025-05-01,E-coli,4.89
East Midlands,Amikacin,2025-06-01,E-coli,4.42
East Midlands,Carbapenems,2020-10-01,E-coli,0.15
East Midlands,Carbapenems,2020-11-01,E-coli,0.15
East Midlands,Carbapenems,2020-12-01,E-coli,0.0
East Midlands,Carbapenems,2021-01-01,E-coli,0.0
East Midlands,Carbapenems,2021-02-01,E-coli,0.0
East Midlands,Carbapenems,2021-03-01,E-coli,0.26
East Midlands,Carbapenems,2021-04-01,E-coli,0.24
East Midlands,Carbapenems,2021-05-01,E-coli,0.23
East Midlands,Carbapenems,2021-06-01,E-coli,0.0
East Midlands,Carbapenems,2021-07-01,E-coli,0.11
East Midlands,Carbapenems,2021-08-01,E-coli,0.23
East Midlands,Carbapenems,2021-09-01,E-coli,0.23
East Midlands,Carbapenems,2021-10-01,E-coli,0.12
East Midlands,Carbapenems,2021-11-01,E-coli,0.13
East Midlands,Carbapenems,2021-12-01,E-coli,0.14
East Midlands,Carbapenems,2022-01-01,E-coli,0.15
East Midlands,Carbapenems,2022-02-01,E-coli,0.0
East Midlands,Carbapenems,2022-03-01,E-coli,0.15
East Midlands,Carbapenems,2022-04-01,E-coli,0.14
East Midlands,Carbapenems,2022-05-01,E-coli,0.27
East Midlands,Carbapenems,2022-06-01,E-coli,0.13
East Midlands,Carbapenems,2022-07-01,E-coli,0.26
East Midlands,Carbapenems,2022-08-01,E-coli,0.12
East Midlands,Carbapenems,2022-09-01,E-coli,0.12
East Midlands,Carbapenems,2022-10-01,E-coli,0.12
East Midlands,Carbapenems,2022-11-01,E-coli,0.25
East Midlands,Carbapenems,2022-12-01,E-coli,0.27
East Midlands,Carbapenems,2023-01-01,E-coli,0.13
East Midlands,Carbapenems,2023-02-01,E-coli,0.0
East Midlands,Carbapenems,2023-03-01,E-coli,0.0
East Midlands,Carbapenems,2023-04-01,E-coli,0.0
East Midlands,Carbapenems,2023-05-01,E-coli,0.0
East Midlands,Carbapenems,2023-06-01,E-coli,0.0
East Midlands,Carbapenems,2023-07-01,E-coli,0.12
East Midlands,Carbapenems,2023-08-01,E-coli,0.12
East Midlands,Carbapenems,2023-09-01,E-coli,0.11
East Midlands,Carbapenems,2023-10-01,E-coli,0.0
East Midlands,Carbapenems,2023-11-01,E-coli,0.11
East Midlands,Carbapenems,2023-12-01,E-coli,0.12
East Midlands,Carbapenems,2024-01-01,E-coli,0.25
East Midlands,Carbapenems,2024-02-01,E-coli,0.5
East Midlands,Carbapenems,2024-03-01,E-coli,0.49
East Midlands,Carbapenems,2024-04-01,E-coli,0.36
East Midlands,Carbapenems,2024-05-01,E-coli,0.0
East Midlands,Carbapenems,2024-06-01,E-coli,0.12
East Midlands,Carbapenems,2024-07-01,E-coli,0.11
East Midlands,Carbapenems,2024-08-01,E-coli,0.21
East Midlands,Carbapenems,2024-09-01,E-coli,0.11
East Midlands,Carbapenems,2024-10-01,E-coli,0.31
East Midlands,Carbapenems,2024-11-01,E-coli,0.2
East Midlands,Carbapenems,2024-12-01,E-coli,0.3
East Midlands,Carbapenems,2025-01-01,E-coli,0.33
East Midlands,Carbapenems,2025-02-01,E-coli,0.36
East Midlands,Carbapenems,2025-03-01,E-coli,0.35
East Midlands,Carbapenems,2025-04-01,E-coli,0.34
East Midlands,Carbapenems,2025-05-01,E-coli,0.31
East Midlands,Carbapenems,2025-06-01,E-coli,0.3
East Midlands,Ciprofloxacin,2020-10-01,E-coli,13.68
East Midlands,Ciprofloxacin,2020-11-01,E-coli,14.76
East Midlands,Ciprofloxacin,2020-12-01,E-coli,13.17
East Midlands,Ciprofloxacin,2021-01-01,E-coli,14.31
East Midlands,Ciprofloxacin,2021-02-01,E-coli,14.43
East Midlands,Ciprofloxacin,2021-03-01,E-coli,16.46
East Midlands,Ciprofloxacin,2021-04-01,E-coli,15.57
East Midlands,Ciprofloxacin,2021-05-01,E-coli,14.91
East Midlands,Ciprofloxacin,2021-06-01,E-coli,14.04
East Midlands,Ciprofloxacin,2021-07-01,E-coli,14.07
East Midlands,Ciprofloxacin,2021-08-01,E-coli,14.29
East Midlands,Ciprofloxacin,2021-09-01,E-coli,13.4
East Midlands,Ciprofloxacin,2021-10-01,E-coli,13.02
East Midlands,Ciprofloxacin,2021-11-01,E-coli,13.77
East Midlands,Ciprofloxacin,2021-12-01,E-coli,15.12
East Midlands,Ciprofloxacin,2022-01-01,E-coli,17.68
East Midlands,Ciprofloxacin,2022-02-01,E-coli,17.13
East Midlands,Ciprofloxacin,2022-03-01,E-coli,16.31
East Midlands,Ciprofloxacin,2022-04-01,E-coli,15.87
East Midlands,Ciprofloxacin,2022-05-01,E-coli,15.32
East Midlands,Ciprofloxacin,2022-06-01,E-coli,14.89
East Midlands,Ciprofloxacin,2022-07-01,E-coli,14.42
East Midlands,Ciprofloxacin,2022-08-01,E-coli,14.21
East Midlands,Ciprofloxacin,2022-09-01,E-coli,14.44
East Midlands,Ciprofloxacin,2022-10-01,E-coli,14.95
East Midlands,Ciprofloxacin,2022-11-01,E-coli,14.84
East Midlands,Ciprofloxacin,2022-12-01,E-coli,16.67
East Midlands,Ciprofloxacin,2023-01-01,E-coli,14.07
East Midlands,Ciprofloxacin,2023-02-01,E-coli,13.88
East Midlands,Ciprofloxacin,2023-03-01,E-coli,13.02
East Midlands,Ciprofloxacin,2023-04-01,E-coli,15.11
East Midlands,Ciprofloxacin,2023-05-01,E-coli,16.55
East Midlands,Ciprofloxacin,2023-06-01,E-coli,16.17
East Midlands,Ciprofloxacin,2023-07-01,E-coli,16.67
East Midlands,Ciprofloxacin,2023-08-01,E-coli,15.56
East Midlands,Ciprofloxacin,2023-09-01,E-coli,15.75
East Midlands,Ciprofloxacin,2023-10-01,E-coli,16.13
East Midlands,Ciprofloxacin,2023-11-01,E-coli,17.81
East Midlands,Ciprofloxacin,2023-12-01,E-coli,20.48
East Midlands,Ciprofloxacin,2024-01-01,E-coli,19.74
East Midlands,Ciprofloxacin,2024-02-01,E-coli,19.15
East Midlands,Ciprofloxacin,2024-03-01,E-coli,16.49
East Midlands,Ciprofloxacin,2024-04-01,E-coli,16.92
East Midlands,Ciprofloxacin,2024-05-01,E-coli,17.2
East Midlands,Ciprofloxacin,2024-06-01,E-coli,18.02
East Midlands,Ciprofloxacin,2024-07-01,E-coli,18.67
East Midlands,Ciprofloxacin,2024-08-01,E-coli,17.92
East Midlands,Ciprofloxacin,2024-09-01,E-coli,18.59
East Midlands,Ciprofloxacin,2024-10-01,E-coli,17.29
East Midlands,Ciprofloxacin,2024-11-01,E-coli,17.14
East Midlands,Ciprofloxacin,2024-12-01,E-coli,17.37
East Midlands,Ciprofloxacin,2025-01-01,E-coli,17.86
East Midlands,Ciprofloxacin,2025-02-01,E-coli,19.34
East Midlands,Ciprofloxacin,2025-03-01,E-coli,19.06
East Midlands,Ciprofloxacin,2025-04-01,E-coli,19.93
East Midlands,Ciprofloxacin,2025-05-01,E-coli,19.12
East Midlands,Ciprofloxacin,2025-06-01,E-coli,19.16
East Midlands,Co-amoxiclav,2020-10-01,E-coli,37.76
East Midlands,Co-amoxiclav,2020-11-01,E-coli,37.69
East Midlands,Co-amoxiclav,2020-12-01,E-coli,38.64
East Midlands,Co-amoxiclav,2021-01-01,E-coli,38.11
East Midlands,Co-amoxiclav,2021-02-01,E-coli,36.96
East Midlands,Co-amoxiclav,2021-03-01,E-coli,37.63
East Midlands,Co-amoxiclav,2021-04-01,E-coli,38.57
East Midlands,Co-amoxiclav,2021-05-01,E-coli,37.94
East Midlands,Co-amoxiclav,2021-06-01,E-coli,35.38
East Midlands,Co-amoxiclav,2021-07-01,E-coli,32.99
East Midlands,Co-amoxiclav,2021-08-01,E-coli,32.8
East Midlands,Co-amoxiclav,2021-09-01,E-coli,34.97
East Midlands,Co-amoxiclav,2021-10-01,E-coli,38.3
East Midlands,Co-amoxiclav,2021-11-01,E-coli,39.79
East Midlands,Co-amoxiclav,2021-12-01,E-coli,35.8
East Midlands,Co-amoxiclav,2022-01-01,E-coli,32.59
East Midlands,Co-amoxiclav,2022-02-01,E-coli,33.17
East Midlands,Co-amoxiclav,2022-03-01,E-coli,35.24
East Midlands,Co-amoxiclav,2022-04-01,E-coli,37.46
East Midlands,Co-amoxiclav,2022-05-01,E-coli,36.34
East Midlands,Co-amoxiclav,2022-06-01,E-coli,36.97
East Midlands,Co-amoxiclav,2022-07-01,E-coli,37.29
East Midlands,Co-amoxiclav,2022-08-01,E-coli,37.77
East Midlands,Co-amoxiclav,2022-09-01,E-coli,37.42
East Midlands,Co-amoxiclav,2022-10-01,E-coli,38.61
East Midlands,Co-amoxiclav,2022-11-01,E-coli,37.74
East Midlands,Co-amoxiclav,2022-12-01,E-coli,38.03
East Midlands,Co-amoxiclav,2023-01-01,E-coli,36.16
East Midlands,Co-amoxiclav,2023-02-01,E-coli,39.28
East Midlands,Co-amoxiclav,2023-03-01,E-coli,39.25
East Midlands,Co-amoxiclav,2023-04-01,E-coli,40.47
East Midlands,Co-amoxiclav,2023-05-01,E-coli,38.34
East Midlands,Co-amoxiclav,2023-06-01,E-coli,39.47
East Midlands,Co-amoxiclav,2023-07-01,E-coli,37.97
East Midlands,Co-amoxiclav,2023-08-01,E-coli,39.28
East Midlands,Co-amoxiclav,2023-09-01,E-coli,38.65
East Midlands,Co-amoxiclav,2023-10-01,E-coli,40.98
East Midlands,Co-amoxiclav,2023-11-01,E-coli,43.94
East Midlands,Co-amoxiclav,2023-12-01,E-coli,44.63
East Midlands,Co-amoxiclav,2024-01-01,E-coli,42.43
East Midlands,Co-amoxiclav,2024-02-01,E-coli,39.39
East Midlands,Co-amoxiclav,2024-03-01,E-coli,37.88
East Midlands,Co-amoxiclav,2024-04-01,E-coli,36.16
East Midlands,Co-amoxiclav,2024-05-01,E-coli,34.92
East Midlands,Co-amoxiclav,2024-06-01,E-coli,37.47
East Midlands,Co-amoxiclav,2024-07-01,E-coli,40.26
East Midlands,Co-amoxiclav,2024-08-01,E-coli,40.13
East Midlands,Co-amoxiclav,2024-09-01,E-coli,39.87
East Midlands,Co-amoxiclav,2024-10-01,E-coli,40.45
