,mae,rmse,type
E-coli__Amikacin__East Midlands,0.6025799962438505,0.6124726001596289,direct
E-coli__Amikacin__East of England,0.4571927162451301,0.4761878091281829,direct
E-coli__Amikacin__London,0.394321459384879,0.47693382355967456,direct
E-coli__Amikacin__North East,0.3122927395603757,0.33203730260298253,direct
E-coli__Amikacin__North West,0.6937271723483718,0.7035184063010916,direct
E-coli__Amikacin__South East,0.7003919284379675,0.7727662110173142,direct
E-coli__Amikacin__South West,0.5765010103644868,0.5927366812204886,direct
E-coli__Amikacin__West Midlands,0.5335418141503301,0.5667145883986656,direct
E-coli__Amikacin__Yorkshire and Humber,0.3754396717860321,0.4389884286580727,direct
E-coli__Carbapenems__East Midlands,0.19390543981890168,0.2642094031679914,direct
E-coli__Carbapenems__East of England,0.3914032572385059,0.476011587397863,direct
E-coli__Carbapenems__London,0.6304954186196287,0.6401677059506251,direct
E-coli__Carbapenems__North East,0.1942079650545729,0.2328669045463097,direct
E-coli__Carbapenems__North West,0.2765751107073793,0.33449702270380155,direct
E-coli__Carbapenems__South East,0.5179817492348354,0.6227166364341289,direct
E-coli__Carbapenems__South West,0.25556937225287774,0.29228960255911923,direct
E-coli__Carbapenems__West Midlands,0.3211143194341668,0.401046329406629,direct
E-coli__Carbapenems__Yorkshire and Humber,0.16313479962352356,0.2667108180618836,direct
E-coli__Ciprofloxacin__East Midlands,0.5490155103844321,0.570062479425039,direct
E-coli__Ciprofloxacin__East of England,0.3898864904770139,0.47339532924963723,direct
E-coli__Ciprofloxacin__London,0.50710360241368,0.5373335279952837,direct
E-coli__Ciprofloxacin__North East,0.39603083210212836,0.40348334491963517,direct
E-coli__Ciprofloxacin__North West,0.5977856968887924,0.6178784678247583,direct
E-coli__Ciprofloxacin__South East,0.9204526717418243,0.9705687204920284,direct
E-coli__Ciprofloxacin__South West,0.47016509596762485,0.5300589104357437,direct
E-coli__Ciprofloxacin__West Midlands,0.5568923244802199,0.5883433565673895,direct
E-coli__Ciprofloxacin__Yorkshire and Humber,0.6497154057167004,0.659702883893495,direct
E-coli__Co-amoxiclav__East Midlands,0.57802623769565,0.6054241293613077,direct
E-coli__Co-amoxiclav__East of England,0.15172255996263753,0.19104121671440757,direct
E-coli__Co-amoxiclav__London,0.27847472779448107,0.33032954010681104,direct
E-coli__Co-amoxiclav__North East,0.24477232493448642,0.32529077399742345,direct
