,mae,rmse,type
E-coli__Amikacin__East Midlands,0.44306499994390003,0.4840081983483306,recursive
E-coli__Amikacin__East of England,0.4068882668929816,0.44955675235064224,recursive
E-coli__Amikacin__London,0.39042504604022427,0.44876142130856495,recursive
E-coli__Amikacin__North East,0.2717956628228021,0.35258204470897475,recursive
E-coli__Amikacin__North West,0.5630438402668696,0.591684234194947,recursive
E-coli__Amikacin__South East,0.7469339433340694,0.8117312220198478,recursive
E-coli__Amikacin__South West,0.4886129428568317,0.5145154201135831,recursive
E-coli__Amikacin__West Midlands,0.5135565211519493,0.5428474608287842,recursive
E-coli__Amikacin__Yorkshire and Humber,0.26595848923422233,0.3330584672235658,recursive
E-coli__Carbapenems__East Midlands,0.27810701353486766,0.3658194291213607,recursive
E-coli__Carbapenems__East of England,0.31480667604892465,0.4170298861167285,recursive
E-coli__Carbapenems__London,0.46780143751762737,0.5162635147931932,recursive
E-coli__Carbapenems__North East,0.2242943946242086,0.2665429625290959,recursive
E-coli__Carbapenems__North West,0.16761776421770536,0.23016399140463795,recursive
E-coli__Carbapenems__South East,0.5413852423899941,0.6718981808806156,recursive
E-coli__Carbapenems__South West,0.2377403103359317,0.29679935761741655,recursive
E-coli__Carbapenems__West Midlands,0.23298520209553722,0.30780330851884885,recursive
E-coli__Carbapenems__Yorkshire and Humber,0.25578911401702475,0.3404465356783745,recursive
E-coli__Ciprofloxacin__East Midlands,0.41708363371872426,0.4752624907866452,recursive
E-coli__Ciprofloxacin__East of England,0.42673818773004196,0.4826632290775751,recursive
E-coli__Ciprofloxacin__London,0.4766331317541343,0.501030894826027,recursive
E-coli__Ciprofloxacin__North East,0.4539239570164615,0.48508443066391765,recursive
E-coli__Ciprofloxacin__North West,0.4411479839995301,0.48558439340159826,recursive
E-coli__Ciprofloxacin__South East,0.6991339575782216,0.7628761686182848,recursive
E-coli__Ciprofloxacin__South West,0.3838299939223639,0.45638747669651636,recursive
E-coli__Ciprofloxacin__West Midlands,0.5036766776104769,0.5399229950138367,recursive
E-coli__Ciprofloxacin__Yorkshire and Humber,0.5377342134304113,0.5612232644889857,recursive
E-coli__Co-amoxiclav__East Midlands,0.44976843872013184,0.48948457703849574,recursive
E-coli__Co-amoxiclav__East of England,0.23364885412458386,0.32211001769941733,recursive
E-coli__Co-amoxiclav__London,0.21246517357276765,0.25583107989803944,recursive
E-coli__Co-amoxiclav__North East,0.2636281093456386,0.34123855500145506,recursive
E-coli__Co-amoxiclav__North West,0.6479451718146901,0.6664042507145292,recursive
E-coli__Co-amoxiclav__South East,0.43603028834778795,0.4917091767662011,recursive
E-coli__Co-amoxiclav__South West,0.43007023426648744,0.4678049398448583,recursive
