date,series_id,value
2021-10-01,E-coli__Amikacin__East Midlands,1.52
2021-11-01,E-coli__Amikacin__East Midlands,1.17
2021-12-01,E-coli__Amikacin__East Midlands,0.72
2022-01-01,E-coli__Amikacin__East Midlands,1.9
2022-02-01,E-coli__Amikacin__East Midlands,2.43
2022-03-01,E-coli__Amikacin__East Midlands,2.79
2022-04-01,E-coli__Amikacin__East Midlands,1.99
2022-05-01,E-coli__Amikacin__East Midlands,1.93
2022-06-01,E-coli__Amikacin__East Midlands,1.8
2022-07-01,E-coli__Amikacin__East Midlands,1.94
2022-08-01,E-coli__Amikacin__East Midlands,1.42
2022-09-01,E-coli__Amikacin__East Midlands,1.08
2022-10-01,E-coli__Amikacin__East Midlands,1.26
2022-11-01,E-coli__Amikacin__East Midlands,1.76
2022-12-01,E-coli__Amikacin__East Midlands,2.72
2023-01-01,E-coli__Amikacin__East Midlands,2.72
2023-02-01,E-coli__Amikacin__East Midlands,2.33
2023-03-01,E-coli__Amikacin__East Midlands,1.23
2023-04-01,E-coli__Amikacin__East Midlands,1.75
2023-05-01,E-coli__Amikacin__East Midlands,1.94
2023-06-01,E-coli__Amikacin__East Midlands,3.62
2023-07-01,E-coli__Amikacin__East Midlands,3.63
2023-08-01,E-coli__Amikacin__East Midlands,3.45
2023-09-01,E-coli__Amikacin__East Midlands,2.85
2023-10-01,E-coli__Amikacin__East Midlands,3.04
2023-11-01,E-coli__Amikacin__East Midlands,3.71
2023-12-01,E-coli__Amikacin__East Midlands,2.91
2024-01-01,E-coli__Amikacin__East Midlands,1.96
2024-02-01,E-coli__Amikacin__East Midlands,2.9
2024-03-01,E-coli__Amikacin__East Midlands,3.15
2024-04-01,E-coli__Amikacin__East Midlands,4.35
2024-05-01,E-coli__Amikacin__East Midlands,3.38
2024-06-01,E-coli__Amikacin__East Midlands,4.17
2024-07-01,E-coli__Amikacin__East Midlands,3.54
2024-08-01,E-coli__Amikacin__East Midlands,2.94
2024-09-01,E-coli__Amikacin__East Midlands,2.37
2024-10-01,E-coli__Amikacin__East Midlands,2.29
2024-11-01,E-coli__Amikacin__East Midlands,3.29
2024-12-01,E-coli__Amikacin__East Midlands,3.42
2025-01-01,E-coli__Amikacin__East Midlands,3.03
2025-02-01,E-coli__Amikacin__East Midlands,2.1
2025-03-01,E-coli__Amikacin__East Midlands,3.1
2025-04-01,E-coli__Amikacin__East Midlands,4.03
2025-05-01,E-coli__Amikacin__East Midlands,4.89
2025-06-01,E-coli__Amikacin__East Midlands,4.42
2021-10-01,E-coli__Amikacin__East of England,3.03
2021-11-01,E-coli__Amikacin__East of England,2.18
2021-12-01,E-coli__Amikacin__East of England,2.22
2022-01-01,E-coli__Amikacin__East of England,2.71
2022-02-01,E-coli__Amikacin__East of England,2.9
2022-03-01,E-coli__Amikacin__East of England,2.85
2022-04-01,E-coli__Amikacin__East of England,2.88
2022-05-01,E-coli__Amikacin__East of England,2.91
2022-06-01,E-coli__Amikacin__East of England,2.84
2022-07-01,E-coli__Amikacin__East of England,3.03
