,mae,rmse,model
E-coli__Amikacin__East Midlands,0.2704896366433631,0.3073415340610967,XGB-Direct
E-coli__Amikacin__East of England,0.2582119832004292,0.3142586159631805,XGB-Direct
E-coli__Amikacin__London,0.1976670394899577,0.23010371137874824,XGB-Direct
E-coli__Amikacin__North East,0.2802333214692615,0.3654734312898647,XGB-Direct
E-coli__Amikacin__North West,0.23404496362755067,0.28189596039897746,XGB-Direct
E-coli__Amikacin__South East,0.25586649469534556,0.30202226669266025,XGB-Direct
E-coli__Amikacin__South West,0.2506439915496667,0.3019521464700215,XGB-Direct
E-coli__Amikacin__West Midlands,0.24964167193402545,0.27511720390356054,XGB-Direct
E-coli__Amikacin__Yorkshire and Humber,0.2805939885287993,0.3597432740650806,XGB-Direct
E-coli__Carbapenems__East Midlands,0.38046357169572725,0.4641614997732955,XGB-Direct
E-coli__Carbapenems__East of England,0.3614079626277089,0.4576610678377488,XGB-Direct
E-coli__Carbapenems__London,0.26185240012312694,0.3325472278084394,XGB-Direct
E-coli__Carbapenems__North East,0.4933803719045575,0.6726779711838637,XGB-Direct
E-coli__Carbapenems__North West,0.23869157853627213,0.2852418168133893,XGB-Direct
E-coli__Carbapenems__South East,0.33863535143986895,0.4060741406207973,XGB-Direct
E-coli__Carbapenems__South West,0.41297675631907355,0.542805590821703,XGB-Direct
E-coli__Carbapenems__West Midlands,0.24357303040147946,0.33735619904288944,XGB-Direct
E-coli__Carbapenems__Yorkshire and Humber,0.42206900853278867,0.5228724104451953,XGB-Direct
E-coli__Ciprofloxacin__East Midlands,0.28360932692040114,0.35151836547754295,XGB-Direct
E-coli__Ciprofloxacin__East of England,0.31062981877252643,0.35007148357115336,XGB-Direct
E-coli__Ciprofloxacin__London,0.27345235354747716,0.34088849794889226,XGB-Direct
E-coli__Ciprofloxacin__North East,0.1786392092089546,0.2144110818734078,XGB-Direct
E-coli__Ciprofloxacin__North West,0.2149401355501961,0.2507046372221752,XGB-Direct
E-coli__Ciprofloxacin__South East,0.2391749699507932,0.29250666601685493,XGB-Direct
E-coli__Ciprofloxacin__South West,0.39552532634506893,0.4679533987260264,XGB-Direct
E-coli__Ciprofloxacin__West Midlands,0.24826401386266203,0.3015116467182674,XGB-Direct
E-coli__Ciprofloxacin__Yorkshire and Humber,0.16468140208152596,0.1914384586066305,XGB-Direct
E-coli__Co-amoxiclav__East Midlands,0.22354178890536383,0.27554400590867306,XGB-Direct
E-coli__Co-amoxiclav__East of England,0.31974257741185697,0.3793325781596533,XGB-Direct
E-coli__Co-amoxiclav__London,0.28313525916762367,0.32949710315246483,XGB-Direct
E-coli__Co-amoxiclav__North East,0.26232452262198885,0.32063074210458586,XGB-Direct
E-coli__Co-amoxiclav__North West,0.385914367967404,0.44709337703300167,XGB-Direct
E-coli__Co-amoxiclav__South East,0.369430711806402,0.43895776705632383,XGB-Direct
E-coli__Co-amoxiclav__South West,0.26014463940144067,0.29975283029917565,XGB-Direct
E-coli__Co-amoxiclav__West Midlands,0.14632182587613698,0.19237383136101022,XGB-Direct
E-coli__Co-amoxiclav__Yorkshire and Humber,0.29736364017714634,0.3440056090062505,XGB-Direct
E-coli__Gentamicin__East Midlands,0.26586390814520366,0.31838627398470565,XGB-Direct
E-coli__Gentamicin__East of England,0.23313590634088355,0.30625858715356863,XGB-Direct
E-coli__Gentamicin__London,0.3820164950068952,0.45467610371878675,XGB-Direct
E-coli__Gentamicin__North East,0.3517958279672591,0.4090553979781503,XGB-Direct
E-coli__Gentamicin__North West,0.14467669633236713,0.19600027728906608,XGB-Direct
E-coli__Gentamicin__South East,0.18551834490329053,0.23868239545627068,XGB-Direct
E-coli__Gentamicin__South West,0.36152099038715363,0.4243803552397114,XGB-Direct
E-coli__Gentamicin__West Midlands,0.1274563869489352,0.1756598024336739,XGB-Direct
E-coli__Gentamicin__Yorkshire and Humber,0.2119780135300703,0.26378953176774456,XGB-Direct
E-coli__Piperacillin with tazobactam__East Midlands,0.22461494564680232,0.2914647301361647,XGB-Direct
E-coli__Piperacillin with tazobactam__East of England,0.22009806857745304,0.2568466151114685,XGB-Direct
E-coli__Piperacillin with tazobactam__London,0.14598294950984833,0.2017990191295185,XGB-Direct
E-coli__Piperacillin with tazobactam__North East,0.274104279287331,0.3354109334083989,XGB-Direct
E-coli__Piperacillin with tazobactam__North West,0.2372756942908387,0.2931063583142735,XGB-Direct
E-coli__Piperacillin with tazobactam__South East,0.27169995986753037,0.3266339219096765,XGB-Direct
E-coli__Piperacillin with tazobactam__South West,0.27373561751058634,0.336084170056497,XGB-Direct
E-coli__Piperacillin with tazobactam__West Midlands,0.2834619342382634,0.3613271354877186,XGB-Direct
E-coli__Piperacillin with tazobactam__Yorkshire and Humber,0.17176686050347256,0.21994099202461034,XGB-Direct
E-coli__Third Generation Cephalosporins__East Midlands,0.20361309994939505,0.2362050258989393,XGB-Direct
E-coli__Third Generation Cephalosporins__East of England,0.1847528503203875,0.2155382023939367,XGB-Direct
E-coli__Third Generation Cephalosporins__London,0.16902225451161493,0.21091143711772167,XGB-Direct
E-coli__Third Generation Cephalosporins__North East,0.21864627146860047,0.268553768675218,XGB-Direct
E-coli__Third Generation Cephalosporins__North West,0.34969285720399407,0.40574356263028527,XGB-Direct
E-coli__Third Generation Cephalosporins__South East,0.18503680697726732,0.2227183869045023,XGB-Direct
E-coli__Third Generation Cephalosporins__South West,0.12953122097712294,0.147900785221045,XGB-Direct
E-coli__Third Generation Cephalosporins__West Midlands,0.1594670773101997,0.2034578790675479,XGB-Direct
E-coli__Third Generation Cephalosporins__Yorkshire and Humber,0.13662738277398223,0.1690661240883599,XGB-Direct
