,mae,rmse,model
E-coli__Amikacin__East Midlands,0.20534577603730786,0.2558259453488991,XGB-Direct
E-coli__Amikacin__East of England,0.15945145247159181,0.22571941394195913,XGB-Direct
E-coli__Amikacin__London,0.34190613449295243,0.35431723678664345,XGB-Direct
E-coli__Amikacin__North East,0.19587004689457102,0.22528086166016784,XGB-Direct
E-coli__Amikacin__North West,0.19882539196000337,0.23072694683504202,XGB-Direct
E-coli__Amikacin__South East,0.2855489649772644,0.33289662364404604,XGB-Direct
E-coli__Amikacin__South West,0.18383868491132516,0.23724828467636633,XGB-Direct
E-coli__Amikacin__West Midlands,0.23258500428163717,0.27965506741808027,XGB-Direct
E-coli__Amikacin__Yorkshire and Humber,0.33139291891983147,0.3734247648962779,XGB-Direct
E-coli__Carbapenems__East Midlands,0.2864140459809763,0.3292077761695123,XGB-Direct
E-coli__Carbapenems__East of England,0.3033366650274461,0.32278254524851424,XGB-Direct
E-coli__Carbapenems__London,0.23320593489518773,0.29331742373532654,XGB-Direct
E-coli__Carbapenems__North East,0.22205770687509763,0.3845117452217619,XGB-Direct
E-coli__Carbapenems__North West,0.2963850844973399,0.37484922135316046,XGB-Direct
E-coli__Carbapenems__South East,0.3247070886470653,0.36387975457743205,XGB-Direct
E-coli__Carbapenems__South West,0.3242149019971731,0.41608102046632184,XGB-Direct
E-coli__Carbapenems__West Midlands,0.3376522540443631,0.3668561319517623,XGB-Direct
E-coli__Carbapenems__Yorkshire and Humber,0.31655105242022763,0.43286185369492763,XGB-Direct
E-coli__Ciprofloxacin__East Midlands,0.22094319095640338,0.2796134929827336,XGB-Direct
E-coli__Ciprofloxacin__East of England,0.44518640056002345,0.5050794749050398,XGB-Direct
E-coli__Ciprofloxacin__London,0.18858844500321603,0.21597908542136718,XGB-Direct
E-coli__Ciprofloxacin__North East,0.18177192268038744,0.22900183770693608,XGB-Direct
E-coli__Ciprofloxacin__North West,0.17542914771326057,0.22498077310929504,XGB-Direct
E-coli__Ciprofloxacin__South East,0.352983039333707,0.4155968149905773,XGB-Direct
E-coli__Ciprofloxacin__South West,0.3747430524980449,0.4101356134996339,XGB-Direct
E-coli__Ciprofloxacin__West Midlands,0.3511644396482518,0.43966576200986907,XGB-Direct
E-coli__Ciprofloxacin__Yorkshire and Humber,0.29114951899029157,0.3295829552957683,XGB-Direct
E-coli__Co-amoxiclav__East Midlands,0.3092867122965132,0.35152646798520565,XGB-Direct
E-coli__Co-amoxiclav__East of England,0.27028691442521796,0.3207223552418499,XGB-Direct
E-coli__Co-amoxiclav__London,0.267606594825138,0.27257213652292833,XGB-Direct
E-coli__Co-amoxiclav__North East,0.1666972409974865,0.18005136575875905,XGB-Direct
E-coli__Co-amoxiclav__North West,0.17141574488391642,0.20857784551337802,XGB-Direct
E-coli__Co-amoxiclav__South East,0.2191582337471254,0.2808061977004308,XGB-Direct
E-coli__Co-amoxiclav__South West,0.19069554593263716,0.21961513489849496,XGB-Direct
E-coli__Co-amoxiclav__West Midlands,0.3734820817367188,0.4056898582785504,XGB-Direct
E-coli__Co-amoxiclav__Yorkshire and Humber,0.38523283753921794,0.40364409848098903,XGB-Direct
E-coli__Gentamicin__East Midlands,0.11626684579296391,0.17794820278897427,XGB-Direct
E-coli__Gentamicin__East of England,0.3382362630019409,0.39599830911201583,XGB-Direct
E-coli__Gentamicin__London,0.30480753806026045,0.38775892762252584,XGB-Direct
E-coli__Gentamicin__North East,0.35764846024089686,0.3916752319037705,XGB-Direct
E-coli__Gentamicin__North West,0.3139990012119482,0.35280232738484724,XGB-Direct
E-coli__Gentamicin__South East,0.20829658319591093,0.26730752251066353,XGB-Direct
E-coli__Gentamicin__South West,0.21967523392260002,0.25790759483608156,XGB-Direct
E-coli__Gentamicin__West Midlands,0.26093794028925643,0.30327086699904515,XGB-Direct
E-coli__Gentamicin__Yorkshire and Humber,0.14787332706823006,0.1919960238057076,XGB-Direct
E-coli__Piperacillin with tazobactam__East Midlands,0.07327462104388653,0.09252209453272839,XGB-Direct
E-coli__Piperacillin with tazobactam__East of England,0.18686919367419555,0.24558378647081672,XGB-Direct
E-coli__Piperacillin with tazobactam__London,0.15454787866913636,0.21714819047154013,XGB-Direct
E-coli__Piperacillin with tazobactam__North East,0.3227128433373273,0.36334743266147485,XGB-Direct
E-coli__Piperacillin with tazobactam__North West,0.17186923759157255,0.22182001679940447,XGB-Direct
E-coli__Piperacillin with tazobactam__South East,0.23569975355732356,0.27138143631883044,XGB-Direct
E-coli__Piperacillin with tazobactam__South West,0.2617334358632777,0.3007840607250322,XGB-Direct
E-coli__Piperacillin with tazobactam__West Midlands,0.38770162640040584,0.39713994356008786,XGB-Direct
