theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period,metric value
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2025,01/06/2025,31.33,FALSE,6.38
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2025,01/05/2025,29.67,FALSE,5.62
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2025,01/04/2025,31.33,FALSE,5.32
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2025,01/03/2025,31.67,FALSE,2.11
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2025,01/02/2025,34.67,FALSE,0.96
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2025,01/01/2025,35.67,FALSE,3.74
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/12/2024,34.33,FALSE,3.88
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/11/2024,30.67,FALSE,6.52
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/10/2024,33,FALSE,4.04
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/09/2024,35,FALSE,4.76
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/08/2024,38,FALSE,1.75
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/07/2024,39.67,FALSE,0.84
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/06/2024,42.67,FALSE,0.78
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/05/2024,41.67,FALSE,2.4
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/04/2024,37.67,FALSE,5.31
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/03/2024,32.67,FALSE,6.12
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/02/2024,32.67,FALSE,6.12
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/01/2024,33.67,FALSE,3.96
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2023,01/12/2023,35,FALSE,2.86
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2023,01/11/2023,34,FALSE,1.96
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2023,01/10/2023,36.67,FALSE,1.82
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2023,01/09/2023,37.67,FALSE,4.42
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2023,01/08/2023,39,FALSE,4.27
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2023,01/07/2023,34.67,FALSE,5.77
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2023,01/06/2023,36.33,FALSE,5.5
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2023,01/05/2023,34,FALSE,7.84
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2023,01/04/2023,33.33,FALSE,7
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2023,01/03/2023,32.33,FALSE,8.25
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2023,01/02/2023,34.33,FALSE,6.8
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East of England,e-faecalis_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2023,01/01/2023,39.33,FALSE,8.47
