theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,in_reporting_delay_period,metric_value,metric_value,
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,01/06/2025,FALSE,354.67,0.09,
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,01/05/2025,FALSE,346,0,
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,01/04/2025,FALSE,334.33,0.1,
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,01/03/2025,FALSE,352.67,0.09,
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,01/02/2025,FALSE,351.33,0.19,
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,01/01/2025,FALSE,360,0.09,
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/12/2024,FALSE,360.67,0.09,
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/11/2024,FALSE,375.33,0,
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/10/2024,FALSE,406.33,0,
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/09/2024,FALSE,404,0.08,
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/08/2024,FALSE,413.67,0.08,
