,geography,stratum,organism,date,resistance_pct
0,East Midlands,Amikacin,E-coli,2020-10-01,0.53
1,East Midlands,Amikacin,E-coli,2020-11-01,0.92
2,East Midlands,Amikacin,E-coli,2020-12-01,0.93
3,East Midlands,Amikacin,E-coli,2021-01-01,0.53
4,East Midlands,Amikacin,E-coli,2021-02-01,0.17
5,East Midlands,Amikacin,E-coli,2021-03-01,0.94
6,East Midlands,Amikacin,E-coli,2021-04-01,1.59
7,East Midlands,Amikacin,E-coli,2021-05-01,1.65
8,East Midlands,Amikacin,E-coli,2021-06-01,1.93
9,East Midlands,Amikacin,E-coli,2021-07-01,1.64
10,East Midlands,Amikacin,E-coli,2021-08-01,2.07
11,East Midlands,Amikacin,E-coli,2021-09-01,1.85
12,East Midlands,Amikacin,E-coli,2021-10-01,1.52
13,East Midlands,Amikacin,E-coli,2021-11-01,1.17
14,East Midlands,Amikacin,E-coli,2021-12-01,0.72
15,East Midlands,Amikacin,E-coli,2022-01-01,1.9
16,East Midlands,Amikacin,E-coli,2022-02-01,2.43
17,East Midlands,Amikacin,E-coli,2022-03-01,2.79
18,East Midlands,Amikacin,E-coli,2022-04-01,1.99
19,East Midlands,Amikacin,E-coli,2022-05-01,1.93
20,East Midlands,Amikacin,E-coli,2022-06-01,1.8
21,East Midlands,Amikacin,E-coli,2022-07-01,1.94
22,East Midlands,Amikacin,E-coli,2022-08-01,1.42
23,East Midlands,Amikacin,E-coli,2022-09-01,1.08
24,East Midlands,Amikacin,E-coli,2022-10-01,1.26
25,East Midlands,Amikacin,E-coli,2022-11-01,1.76
26,East Midlands,Amikacin,E-coli,2022-12-01,2.72
27,East Midlands,Amikacin,E-coli,2023-01-01,2.72
28,East Midlands,Amikacin,E-coli,2023-02-01,2.33
29,East Midlands,Amikacin,E-coli,2023-03-01,1.23
30,East Midlands,Amikacin,E-coli,2023-04-01,1.75
31,East Midlands,Amikacin,E-coli,2023-05-01,1.94
32,East Midlands,Amikacin,E-coli,2023-06-01,3.62
33,East Midlands,Amikacin,E-coli,2023-07-01,3.63
34,East Midlands,Amikacin,E-coli,2023-08-01,3.45
35,East Midlands,Amikacin,E-coli,2023-09-01,2.85
36,East Midlands,Amikacin,E-coli,2023-10-01,3.04
37,East Midlands,Amikacin,E-coli,2023-11-01,3.71
38,East Midlands,Amikacin,E-coli,2023-12-01,2.91
39,East Midlands,Amikacin,E-coli,2024-01-01,1.96
40,East Midlands,Amikacin,E-coli,2024-02-01,2.9
41,East Midlands,Amikacin,E-coli,2024-03-01,3.15
42,East Midlands,Amikacin,E-coli,2024-04-01,4.35
43,East Midlands,Amikacin,E-coli,2024-05-01,3.38
44,East Midlands,Amikacin,E-coli,2024-06-01,4.17
45,East Midlands,Amikacin,E-coli,2024-07-01,3.54
46,East Midlands,Amikacin,E-coli,2024-08-01,2.94
47,East Midlands,Amikacin,E-coli,2024-09-01,2.37
48,East Midlands,Amikacin,E-coli,2024-10-01,2.29
49,East Midlands,Amikacin,E-coli,2024-11-01,3.29
50,East Midlands,Amikacin,E-coli,2024-12-01,3.42
51,East Midlands,Amikacin,E-coli,2025-01-01,3.03
52,East Midlands,Amikacin,E-coli,2025-02-01,2.1
53,East Midlands,Amikacin,E-coli,2025-03-01,3.1
54,East Midlands,Amikacin,E-coli,2025-04-01,4.03
55,East Midlands,Amikacin,E-coli,2025-05-01,4.89
56,East Midlands,Amikacin,E-coli,2025-06-01,4.42
57,East Midlands,Carbapenems,E-coli,2020-10-01,0.15
58,East Midlands,Carbapenems,E-coli,2020-11-01,0.15
59,East Midlands,Carbapenems,E-coli,2020-12-01,0.0
60,East Midlands,Carbapenems,E-coli,2021-01-01,0.0
61,East Midlands,Carbapenems,E-coli,2021-02-01,0.0
62,East Midlands,Carbapenems,E-coli,2021-03-01,0.26
63,East Midlands,Carbapenems,E-coli,2021-04-01,0.24
64,East Midlands,Carbapenems,E-coli,2021-05-01,0.23
65,East Midlands,Carbapenems,E-coli,2021-06-01,0.0
66,East Midlands,Carbapenems,E-coli,2021-07-01,0.11
67,East Midlands,Carbapenems,E-coli,2021-08-01,0.23
68,East Midlands,Carbapenems,E-coli,2021-09-01,0.23
69,East Midlands,Carbapenems,E-coli,2021-10-01,0.12
70,East Midlands,Carbapenems,E-coli,2021-11-01,0.13
71,East Midlands,Carbapenems,E-coli,2021-12-01,0.14
72,East Midlands,Carbapenems,E-coli,2022-01-01,0.15
73,East Midlands,Carbapenems,E-coli,2022-02-01,0.0
