,geography,stratum,date,resistance_pct,organism
533,North West,Glycopeptides,2025-06-01,15.08,e-faecium
534,North West,Glycopeptides,2025-05-01,17.29,e-faecium
535,North West,Glycopeptides,2025-04-01,17.04,e-faecium
536,North West,Glycopeptides,2025-03-01,21.23,e-faecium
537,North West,Glycopeptides,2025-02-01,19.42,e-faecium
538,North West,Glycopeptides,2025-01-01,23.48,e-faecium
539,North West,Glycopeptides,2024-12-01,22.81,e-faecium
540,North West,Glycopeptides,2024-11-01,20.18,e-faecium
541,North West,Glycopeptides,2024-10-01,17.92,e-faecium
542,North West,Glycopeptides,2024-09-01,13.27,e-faecium
543,North West,Glycopeptides,2024-08-01,15.0,e-faecium
544,North West,Glycopeptides,2024-07-01,16.43,e-faecium
545,North West,Glycopeptides,2024-06-01,19.12,e-faecium
546,North West,Glycopeptides,2024-05-01,20.0,e-faecium
547,North West,Glycopeptides,2024-04-01,20.9,e-faecium
548,North West,Glycopeptides,2024-03-01,20.77,e-faecium
549,North West,Glycopeptides,2024-02-01,20.97,e-faecium
550,North West,Glycopeptides,2024-01-01,21.01,e-faecium
551,North West,Glycopeptides,2023-12-01,22.58,e-faecium
552,North West,Glycopeptides,2023-11-01,22.66,e-faecium
553,North West,Glycopeptides,2023-10-01,25.9,e-faecium
554,North West,Glycopeptides,2023-09-01,27.59,e-faecium
555,North West,Glycopeptides,2023-08-01,28.97,e-faecium
556,North West,Glycopeptides,2023-07-01,24.0,e-faecium
557,North West,Glycopeptides,2023-06-01,22.3,e-faecium
558,North West,Glycopeptides,2023-05-01,22.0,e-faecium
559,North West,Glycopeptides,2023-04-01,27.78,e-faecium
560,North West,Glycopeptides,2023-03-01,27.13,e-faecium
561,North West,Glycopeptides,2023-02-01,27.14,e-faecium
562,North West,Glycopeptides,2023-01-01,26.8,e-faecium
563,North West,Glycopeptides,2022-12-01,26.14,e-faecium
564,North West,Glycopeptides,2022-11-01,23.94,e-faecium
565,North West,Glycopeptides,2022-10-01,20.29,e-faecium
566,North West,Glycopeptides,2022-09-01,18.18,e-faecium
567,North West,Glycopeptides,2022-08-01,19.23,e-faecium
568,North West,Glycopeptides,2022-07-01,18.79,e-faecium
569,North West,Glycopeptides,2022-06-01,22.07,e-faecium
570,North West,Glycopeptides,2022-05-01,20.39,e-faecium
571,North West,Glycopeptides,2022-04-01,17.74,e-faecium
572,North West,Glycopeptides,2022-03-01,14.88,e-faecium
573,North West,Glycopeptides,2022-02-01,17.59,e-faecium
574,North West,Glycopeptides,2022-01-01,19.63,e-faecium
575,North West,Glycopeptides,2021-12-01,19.79,e-faecium
576,North West,Glycopeptides,2021-11-01,20.21,e-faecium
577,North West,Glycopeptides,2021-10-01,26.26,e-faecium
578,North West,Glycopeptides,2021-09-01,30.09,e-faecium
579,North West,Glycopeptides,2021-08-01,27.78,e-faecium
580,North West,Glycopeptides,2021-07-01,23.42,e-faecium
