,geography,stratum,date,resistance_pct,organism
2,East Midlands,Glycopeptides,2025-06-01,2.27,e-faecalis
3,East Midlands,Glycopeptides,2025-05-01,2.11,e-faecalis
4,East Midlands,Glycopeptides,2025-04-01,5.26,e-faecalis
5,East Midlands,Glycopeptides,2025-03-01,4.26,e-faecalis
6,East Midlands,Glycopeptides,2025-02-01,3.96,e-faecalis
7,East Midlands,Glycopeptides,2025-01-01,2.0,e-faecalis
8,East Midlands,Glycopeptides,2024-12-01,1.75,e-faecalis
9,East Midlands,Glycopeptides,2024-11-01,4.31,e-faecalis
10,East Midlands,Glycopeptides,2024-10-01,4.55,e-faecalis
11,East Midlands,Glycopeptides,2024-09-01,4.3,e-faecalis
12,East Midlands,Glycopeptides,2024-08-01,1.03,e-faecalis
13,East Midlands,Glycopeptides,2024-07-01,1.15,e-faecalis
14,East Midlands,Glycopeptides,2024-06-01,1.22,e-faecalis
15,East Midlands,Glycopeptides,2024-05-01,1.39,e-faecalis
16,East Midlands,Glycopeptides,2024-04-01,1.3,e-faecalis
17,East Midlands,Glycopeptides,2024-03-01,3.57,e-faecalis
18,East Midlands,Glycopeptides,2024-02-01,3.8,e-faecalis
19,East Midlands,Glycopeptides,2024-01-01,2.67,e-faecalis
20,East Midlands,Glycopeptides,2023-12-01,0.0,e-faecalis
21,East Midlands,Glycopeptides,2023-11-01,2.74,e-faecalis
22,East Midlands,Glycopeptides,2023-10-01,3.61,e-faecalis
23,East Midlands,Glycopeptides,2023-09-01,3.53,e-faecalis
24,East Midlands,Glycopeptides,2023-08-01,2.17,e-faecalis
25,East Midlands,Glycopeptides,2023-07-01,1.14,e-faecalis
26,East Midlands,Glycopeptides,2023-06-01,1.1,e-faecalis
27,East Midlands,Glycopeptides,2023-05-01,0.0,e-faecalis
28,East Midlands,Glycopeptides,2023-04-01,0.0,e-faecalis
29,East Midlands,Glycopeptides,2023-03-01,0.0,e-faecalis
30,East Midlands,Glycopeptides,2023-02-01,0.0,e-faecalis
31,East Midlands,Glycopeptides,2023-01-01,0.0,e-faecalis
32,East Midlands,Glycopeptides,2022-12-01,0.0,e-faecalis
33,East Midlands,Glycopeptides,2022-11-01,1.0,e-faecalis
34,East Midlands,Glycopeptides,2022-10-01,2.13,e-faecalis
35,East Midlands,Glycopeptides,2022-09-01,2.44,e-faecalis
36,East Midlands,Glycopeptides,2022-08-01,1.33,e-faecalis
37,East Midlands,Glycopeptides,2022-07-01,0.0,e-faecalis
38,East Midlands,Glycopeptides,2022-06-01,1.12,e-faecalis
39,East Midlands,Glycopeptides,2022-05-01,2.3,e-faecalis
40,East Midlands,Glycopeptides,2022-04-01,2.47,e-faecalis
41,East Midlands,Glycopeptides,2022-03-01,1.37,e-faecalis
42,East Midlands,Glycopeptides,2022-02-01,0.0,e-faecalis
43,East Midlands,Glycopeptides,2022-01-01,1.12,e-faecalis
44,East Midlands,Glycopeptides,2021-12-01,3.23,e-faecalis
45,East Midlands,Glycopeptides,2021-11-01,3.81,e-faecalis
46,East Midlands,Glycopeptides,2021-10-01,4.35,e-faecalis
47,East Midlands,Glycopeptides,2021-09-01,3.12,e-faecalis
48,East Midlands,Glycopeptides,2021-08-01,2.29,e-faecalis
49,East Midlands,Glycopeptides,2021-07-01,0.77,e-faecalis
50,East Midlands,Glycopeptides,2021-06-01,0.0,e-faecalis
51,East Midlands,Glycopeptides,2021-05-01,0.81,e-faecalis
52,East Midlands,Glycopeptides,2021-04-01,1.68,e-faecalis
53,East Midlands,Glycopeptides,2021-03-01,1.61,e-faecalis
54,East Midlands,Glycopeptides,2021-02-01,0.91,e-faecalis
55,East Midlands,Glycopeptides,2021-01-01,0.0,e-faecalis
56,East Midlands,Glycopeptides,2020-12-01,0.0,e-faecalis
57,East Midlands,Glycopeptides,2020-11-01,1.52,e-faecalis
58,East Midlands,Glycopeptides,2020-10-01,1.79,e-faecalis
61,Yorkshire and Humber,Glycopeptides,2025-06-01,3.64,e-faecalis
62,Yorkshire and Humber,Glycopeptides,2025-05-01,7.78,e-faecalis
63,Yorkshire and Humber,Glycopeptides,2025-04-01,8.43,e-faecalis
64,Yorkshire and Humber,Glycopeptides,2025-03-01,7.29,e-faecalis
65,Yorkshire and Humber,Glycopeptides,2025-02-01,5.41,e-faecalis
66,Yorkshire and Humber,Glycopeptides,2025-01-01,3.82,e-faecalis
67,Yorkshire and Humber,Glycopeptides,2024-12-01,4.27,e-faecalis
68,Yorkshire and Humber,Glycopeptides,2024-11-01,2.83,e-faecalis
69,Yorkshire and Humber,Glycopeptides,2024-10-01,3.19,e-faecalis
70,Yorkshire and Humber,Glycopeptides,2024-09-01,6.45,e-faecalis
71,Yorkshire and Humber,Glycopeptides,2024-08-01,5.26,e-faecalis
72,Yorkshire and Humber,Glycopeptides,2024-07-01,4.49,e-faecalis
73,Yorkshire and Humber,Glycopeptides,2024-06-01,1.03,e-faecalis
74,Yorkshire and Humber,Glycopeptides,2024-05-01,3.92,e-faecalis
75,Yorkshire and Humber,Glycopeptides,2024-04-01,5.77,e-faecalis
76,Yorkshire and Humber,Glycopeptides,2024-03-01,7.55,e-faecalis
