theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period,metric value
infectious_disease,antimicrobial_resistance,E-faecium,UKHSA Region,East of England,e-faecium_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2025,01/06/2025,44,FALSE,31.82
infectious_disease,antimicrobial_resistance,E-faecium,UKHSA Region,East of England,e-faecium_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2025,01/05/2025,44,FALSE,26.52
infectious_disease,antimicrobial_resistance,E-faecium,UKHSA Region,East of England,e-faecium_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2025,01/04/2025,42.67,FALSE,24.22
infectious_disease,antimicrobial_resistance,E-faecium,UKHSA Region,East of England,e-faecium_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2025,01/03/2025,47.67,FALSE,23.08
infectious_disease,antimicrobial_resistance,E-faecium,UKHSA Region,East of England,e-faecium_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2025,01/02/2025,46,FALSE,23.19
infectious_disease,antimicrobial_resistance,E-faecium,UKHSA Region,East of England,e-faecium_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2025,01/01/2025,49.33,FALSE,23.65
infectious_disease,antimicrobial_resistance,E-faecium,UKHSA Region,East of England,e-faecium_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/12/2024,40,FALSE,25.83
infectious_disease,antimicrobial_resistance,E-faecium,UKHSA Region,East of England,e-faecium_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/11/2024,37.67,FALSE,32.74
infectious_disease,antimicrobial_resistance,E-faecium,UKHSA Region,East of England,e-faecium_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/10/2024,37,FALSE,41.44
infectious_disease,antimicrobial_resistance,E-faecium,UKHSA Region,East of England,e-faecium_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/09/2024,41,FALSE,37.4
infectious_disease,antimicrobial_resistance,E-faecium,UKHSA Region,East of England,e-faecium_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/08/2024,47.67,FALSE,36.36
infectious_disease,antimicrobial_resistance,E-faecium,UKHSA Region,East of England,e-faecium_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/07/2024,46.67,FALSE,32.14
infectious_disease,antimicrobial_resistance,E-faecium,UKHSA Region,East of England,e-faecium_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/06/2024,46.33,FALSE,35.25
infectious_disease,antimicrobial_resistance,E-faecium,UKHSA Region,East of England,e-faecium_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/05/2024,43.67,FALSE,29.01
infectious_disease,antimicrobial_resistance,E-faecium,UKHSA Region,East of England,e-faecium_testing_bacteraemiaNumberTestedRollingMonth,all,all,Glycopeptides,2024,01/04/2024,41.33,FALSE,28.23
