theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,antimicrobial_resistance,P-aeruginosa,UKHSA Region,East Midlands,p-aeruginosa_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-06-01,0.0000,False
infectious_disease,antimicrobial_resistance,P-aeruginosa,UKHSA Region,East Midlands,p-aeruginosa_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,2025-06-01,6.4500,False
infectious_disease,antimicrobial_resistance,P-aeruginosa,UKHSA Region,East Midlands,p-aeruginosa_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ceftazidime,2025,2025-06-01,6.4500,False
infectious_disease,antimicrobial_resistance,P-aeruginosa,UKHSA Region,East Midlands,p-aeruginosa_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,2025-06-01,8.9900,False
infectious_disease,antimicrobial_resistance,P-aeruginosa,UKHSA Region,East Midlands,p-aeruginosa_testing_bacteraemiaPercentResistantRollingMonth,all,all,Piperacillin with tazobactam,2025,2025-06-01,6.5200,False
infectious_disease,antimicrobial_resistance,P-aeruginosa,UKHSA Region,East Midlands,p-aeruginosa_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-05-01,1.7500,False
infectious_disease,antimicrobial_resistance,P-aeruginosa,UKHSA Region,East Midlands,p-aeruginosa_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,2025-05-01,5.4900,False
infectious_disease,antimicrobial_resistance,P-aeruginosa,UKHSA Region,East Midlands,p-aeruginosa_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ceftazidime,2025,2025-05-01,6.9000,False
infectious_disease,antimicrobial_resistance,P-aeruginosa,UKHSA Region,East Midlands,p-aeruginosa_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,2025-05-01,10.3400,False
infectious_disease,antimicrobial_resistance,P-aeruginosa,UKHSA Region,East Midlands,p-aeruginosa_testing_bacteraemiaPercentResistantRollingMonth,all,all,Piperacillin with tazobactam,2025,2025-05-01,4.7100,False
infectious_disease,antimicrobial_resistance,P-aeruginosa,UKHSA Region,East Midlands,p-aeruginosa_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-04-01,1.9200,False
