theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period,metric-value
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,01/06/2025,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,01/05/2025,1.45,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,01/04/2025,1.47,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,01/03/2025,2.13,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,01/02/2025,1.35,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,01/01/2025,1.97,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2024,01/12/2024,1.36,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2024,01/11/2024,0.71,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2024,01/10/2024,1.47,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2024,01/09/2024,1.5,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2024,01/08/2024,2.44,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2024,01/07/2024,1.61,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2024,01/06/2024,3.17,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2024,01/05/2024,2.24,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2024,01/04/2024,1.45,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2024,01/03/2024,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2024,01/02/2024,2.29,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2024,01/01/2024,2.26,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2023,01/12/2023,2.07,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2023,01/11/2023,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2023,01/10/2023,0,FALSE,
