Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to NHS regions value or percentiles,Time period Sortable,New data,Compared to goal,Time period range
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Jan-14,1.846934438,,,,,36641600,54316618,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Feb-14,1.840691328,,,,,36517742,54316618,,,Not compared,Not compared,20140002,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Mar-14,1.843358994,,,,,36570667,54316618,,,Not compared,Not compared,20140003,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Apr-14,1.841309667,,,,,36530009,54316618,,,Not compared,Not compared,20140004,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,May-14,1.84308207,,,,,36565173,54316618,,,Not compared,Not compared,20140005,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Jun-14,1.851223111,,,,,36726683,54316618,,,Not compared,Not compared,20140006,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Jul-14,1.851895452,,,,,36740023,54316618,,,Not compared,Not compared,20140007,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Aug-14,1.847036123,,,,,36643618,54316618,,,Not compared,Not compared,20140008,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Sep-14,1.850759983,,,,,36717496,54316618,,,Not compared,Not compared,20140009,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Oct-14,1.848361492,,,,,36669911,54316618,,,Not compared,Not compared,20140010,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Nov-14,1.843683839,,,,,36577111,54316618,,,Not compared,Not compared,20140011,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Dec-14,1.866308212,,,,,37025958,54316618,,,Not compared,Not compared,20140012,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Jan-15,1.856418371,,,,,37148241,54786327,,,Not compared,Not compared,20150001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E92000001,England,E40000003,London NHS Region,NHS regions,Persons,All ages,,,Jan-15,1.525235891,,,,,4828281,8666930,,,Not compared,Not compared,20150001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000003,London NHS Region,E38000240,North Central London ICB - 93C ,ICB sub-locations,Persons,All ages,,,Jan-15,1.363485098,,,,,720680,1447111,,,Not compared,Not compared,20150001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000003,London NHS Region,E38000244,South East London ICB - 72Q ,ICB sub-locations,Persons,All ages,,,Jan-15,1.532645345,,,,,988829,1766401,,,Not compared,Not compared,20150001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000003,London NHS Region,E38000245,South West London ICB - 36L ,ICB sub-locations,Persons,All ages,,,Jan-15,1.647992253,,,,,885507,1471115,,,Not compared,Not compared,20150001,,,1m
