Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to NHS regions value or percentiles,Time period Sortable,New data,Compared to goal,Time period range
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Jan-14,1.846934438,,,,,36641600,54316618,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E92000001,England,E40000012,North East and Yorkshire NHS Region,NHS regions,Persons,All ages,,,Jan-14,1.971133167,,,,,4086885,5676573,Aggregated from all known lower geography values,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000006,South Yorkshire ICB - 02P ,ICB sub-locations,Persons,All ages,,,Jan-14,2.154721022,,,,,187286,237971,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000025,West Yorkshire ICB - 02T ,ICB sub-locations,Persons,All ages,,,Jan-14,2.0229671,,,,,152981,207042,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000044,South Yorkshire ICB - 02X ,ICB sub-locations,Persons,All ages,,,Jan-14,2.198749781,,,,,244460,304398,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000052,Humber and North Yorkshire ICB - 02Y ,ICB sub-locations,Persons,All ages,,,Jan-14,1.829452634,,,,,211038,315827,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000085,Humber and North Yorkshire ICB - 03F ,ICB sub-locations,Persons,All ages,,,Jan-14,2.250552654,,,,,211598,257414,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000119,Humber and North Yorkshire ICB - 03H ,ICB sub-locations,Persons,All ages,,,Jan-14,2.162251711,,,,,126377,160019,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000122,Humber and North Yorkshire ICB - 03K ,ICB sub-locations,Persons,All ages,,,Jan-14,1.932868004,,,,,119461,169213,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000127,North East and North Cumbria ICB - 99C ,ICB sub-locations,Persons,All ages,,,Jan-14,2.106675386,,,,,156091,202857,,,Not compared,Not compared,20140001,,,1m
