Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to NHS regions value or percentiles,Time period Sortable,New data,Compared to goal,Time period range
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Jan-14,1.846934438,,,,,36641600,54316618,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E92000001,England,E40000010,North West NHS Region,NHS regions,Persons,All ages,,,Jan-14,2.046673121,,,,,4405701,5893541,Aggregated from all known lower geography values,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000014,Lancashire and South Cumbria ICB - 00Q ,ICB sub-locations,Persons,All ages,,,Jan-14,2.551589489,,,,,137387,147416,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000015,Lancashire and South Cumbria ICB - 00R ,ICB sub-locations,Persons,All ages,,,Jan-14,2.459145784,,,,,126555,140898,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000016,Greater Manchester ICB - 00T ,ICB sub-locations,Persons,All ages,,,Jan-14,2.135293007,,,,,218991,280788,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000024,Greater Manchester ICB - 00V ,ICB sub-locations,Persons,All ages,,,Jan-14,2.048867226,,,,,140156,187287,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000034,Lancashire and South Cumbria ICB - 00X ,ICB sub-locations,Persons,All ages,,,Jan-14,1.906024933,,,,,118723,170536,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000050,Lancashire and South Cumbria ICB - 01A ,ICB sub-locations,Persons,All ages,,,Jan-14,1.876032591,,,,,255462,372817,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000068,Cheshire and Merseyside ICB - 01F ,ICB sub-locations,Persons,All ages,,,Jan-14,2.181281567,,,,,100785,126501,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000080,Greater Manchester ICB - 01D ,ICB sub-locations,Persons,All ages,,,Jan-14,2.328386784,,,,,181124,212976,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000091,Cheshire and Merseyside ICB - 01J ,ICB sub-locations,Persons,All ages,,,Jan-14,2.413468599,,,,,129080,146429,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000101,Cheshire and Merseyside ICB - 99A ,ICB sub-locations,Persons,All ages,,,Jan-14,2.041626215,,,,,353888,474569,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000135,Greater Manchester ICB - 00Y ,ICB sub-locations,Persons,All ages,,,Jan-14,2.183986187,,,,,182021,228182,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000143,Greater Manchester ICB - 01G ,ICB sub-locations,Persons,All ages,,,Jan-14,1.976103067,,,,,174336,241539,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000161,Cheshire and Merseyside ICB - 01T ,ICB sub-locations,Persons,All ages,,,Jan-14,1.81407094,,,,,105251,158848,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000170,Cheshire and Merseyside ICB - 01V ,ICB sub-locations,Persons,All ages,,,Jan-14,2.184462547,,,,,91762,115008,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000172,Cheshire and Merseyside ICB - 01X ,ICB sub-locations,Persons,All ages,,,Jan-14,2.415796995,,,,,156348,177191,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000174,Greater Manchester ICB - 01W ,ICB sub-locations,Persons,All ages,,,Jan-14,1.968906999,,,,,205954,286388,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000187,Greater Manchester ICB - 02A ,ICB sub-locations,Persons,All ages,,,Jan-14,1.823450446,,,,,154728,232319,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000194,Cheshire and Merseyside ICB - 02E ,ICB sub-locations,Persons,All ages,,,Jan-14,2.053894758,,,,,155049,206681,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000200,Lancashire and South Cumbria ICB - 02G ,ICB sub-locations,Persons,All ages,,,Jan-14,1.881453872,,,,,76860,111845,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000205,Greater Manchester ICB - 02H ,ICB sub-locations,Persons,All ages,,,Jan-14,1.95434463,,,,,229219,321114,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000208,Cheshire and Merseyside ICB - 12F ,ICB sub-locations,Persons,All ages,,,Jan-14,2.187288284,,,,,256851,321503,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000217,Greater Manchester ICB - 14L ,ICB sub-locations,Persons,All ages,,,Jan-14,1.947799325,,,,,369116,518834,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000226,Lancashire and South Cumbria ICB - 02M ,ICB sub-locations,Persons,All ages,,,Jan-14,1.795243621,,,,,122695,187117,"Due to boundary changes, historical values should be treated as estimates",,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000227,Lancashire and South Cumbria ICB - 01E ,ICB sub-locations,Persons,All ages,,,Jan-14,1.912670255,,,,,139803,200118,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000228,Lancashire and South Cumbria ICB - 01K ,ICB sub-locations,Persons,All ages,,,Jan-14,1.87384069,,,,,223557,326637,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Feb-14,1.840691328,,,,,36517742,54316618,,,Not compared,Not compared,20140002,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E92000001,England,E40000010,North West NHS Region,NHS regions,Persons,All ages,,,Feb-14,2.039895785,,,,,4391112,5893541,Aggregated from all known lower geography values,,Not compared,Not compared,20140002,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000014,Lancashire and South Cumbria ICB - 00Q ,ICB sub-locations,Persons,All ages,,,Feb-14,2.546129227,,,,,137093,147416,,,Not compared,Not compared,20140002,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000015,Lancashire and South Cumbria ICB - 00R ,ICB sub-locations,Persons,All ages,,,Feb-14,2.450012922,,,,,126085,140898,,,Not compared,Not compared,20140002,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000016,Greater Manchester ICB - 00T ,ICB sub-locations,Persons,All ages,,,Feb-14,2.144302607,,,,,219915,280788,,,Not compared,Not compared,20140002,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000024,Greater Manchester ICB - 00V ,ICB sub-locations,Persons,All ages,,,Feb-14,2.04551959,,,,,139927,187287,,,Not compared,Not compared,20140002,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000034,Lancashire and South Cumbria ICB - 00X ,ICB sub-locations,Persons,All ages,,,Feb-14,1.896504641,,,,,118130,170536,,,Not compared,Not compared,20140002,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000050,Lancashire and South Cumbria ICB - 01A ,ICB sub-locations,Persons,All ages,,,Feb-14,1.873601794,,,,,255131,372817,,,Not compared,Not compared,20140002,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000001,North Of England Commissioning Region,E38000068,Cheshire and Merseyside ICB - 01F ,ICB sub-locations,Persons,All ages,,,Feb-14,2.151695728,,,,,99418,126501,,,Not compared,Not compared,20140002,,,1m
