Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to NHS regions value or percentiles,Time period Sortable,New data,Compared to goal,Time period range
92165,Total number of prescribed antibiotic items per 1000 resident individuals by quarter,,,E92000001,England,England,Persons,All ages,,,2014 Q1,171.6480888,,,,,4082433,23783737,Aggregated from all known lower geography values,,Not compared,Not compared,20140100,,,3m
92165,Total number of prescribed antibiotic items per 1000 resident individuals by quarter,E92000001,England,E40000005,South East NHS Region,NHS regions,Persons,All ages,,,2014 Q1,146.9536708,,,,,315101,2144220,Aggregated from all known lower geography values,,Not compared,Not compared,20140100,,,3m
92165,Total number of prescribed antibiotic items per 1000 resident individuals by quarter,E40000004,South Of England Commissioning Region,E38000021,Sussex ICB - 09D ,ICB sub-locations,Persons,All ages,,,2014 Q1,115.777659,,,,,32493,280650,,,Not compared,Not compared,20140100,,,3m
92165,Total number of prescribed antibiotic items per 1000 resident individuals by quarter,E40000004,South Of England Commissioning Region,E38000136,"Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q ",ICB sub-locations,Persons,All ages,,,2014 Q1,141.9942942,,,,,93073,655470,,,Not compared,Not compared,20140100,,,3m
92165,Total number of prescribed antibiotic items per 1000 resident individuals by quarter,E40000004,South Of England Commissioning Region,E38000137,Hampshire and Isle Of Wight ICB - 10R ,ICB sub-locations,Persons,All ages,,,2014 Q1,141.8641876,,,,,29513,208037,,,Not compared,Not compared,20140100,,,3m
92165,Total number of prescribed antibiotic items per 1000 resident individuals by quarter,E40000004,South Of England Commissioning Region,E38000221,"Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A ",ICB sub-locations,Persons,All ages,,,2014 Q1,154.0976035,,,,,73399,476315,"Due to boundary changes, historical values should be treated as estimates",,Not compared,Not compared,20140100,,,3m
92165,Total number of prescribed antibiotic items per 1000 resident individuals by quarter,E40000004,South Of England Commissioning Region,E38000223,"Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y ",ICB sub-locations,Persons,All ages,,,2014 Q1,165.3906077,,,,,86623,523748,"Due to boundary changes, historical values should be treated as estimates",,Not compared,Not compared,20140100,,,3m
92165,Total number of prescribed antibiotic items per 1000 resident individuals by quarter,,,E92000001,England,England,Persons,All ages,,,2014 Q2,153.5796498,,,,,3652698,23783737,Aggregated from all known lower geography values,,Not compared,Not compared,20140200,,,3m
92165,Total number of prescribed antibiotic items per 1000 resident individuals by quarter,E92000001,England,E40000005,South East NHS Region,NHS regions,Persons,All ages,,,2014 Q2,132.1459552,,,,,283350,2144220,Aggregated from all known lower geography values,,Not compared,Not compared,20140200,,,3m
92165,Total number of prescribed antibiotic items per 1000 resident individuals by quarter,E40000004,South Of England Commissioning Region,E38000021,Sussex ICB - 09D ,ICB sub-locations,Persons,All ages,,,2014 Q2,104.9242829,,,,,29447,280650,,,Not compared,Not compared,20140200,,,3m
