theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2025,01/06/2025,7.69,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2025,01/05/2025,7.52,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2025,01/04/2025,6.2,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2025,01/03/2025,7.05,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2025,01/02/2025,6.08,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2025,01/01/2025,5.88,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2024,01/12/2024,7.09,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2024,01/11/2024,7.61,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2024,01/10/2024,8.45,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2024,01/09/2024,4.26,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2024,01/08/2024,4.26,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2024,01/07/2024,1.43,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2024,01/06/2024,2.35,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2024,01/05/2024,1.94,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2024,01/04/2024,5.88,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2024,01/03/2024,6.25,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2024,01/02/2024,7.01,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2024,01/01/2024,5.59,FALSE
infectious_disease,antimicrobial_resistance,S-pneumoniae,UKHSA Region,East Midlands,s-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Macrolides,2023,01/12/2023,6.5,FALSE
