theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-08-01,2.5700,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,2025-08-01,0.1100,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,2025-08-01,18.5800,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Co-amoxiclav,2025,2025-08-01,40.1000,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Gentamicin,2025,2025-08-01,13.6900,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Piperacillin with tazobactam,2025,2025-08-01,9.8000,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Third Generation Cephalosporins,2025,2025-08-01,15.3600,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-07-01,1.9500,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,2025-07-01,0.1200,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,2025-07-01,18.7500,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Co-amoxiclav,2025,2025-07-01,41.4500,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Gentamicin,2025,2025-07-01,13.4900,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Piperacillin with tazobactam,2025,2025-07-01,10.3500,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Third Generation Cephalosporins,2025,2025-07-01,16.3200,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-06-01,1.8200,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,2025-06-01,0.1300,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,2025-06-01,17.3600,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Co-amoxiclav,2025,2025-06-01,42.4000,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Gentamicin,2025,2025-06-01,11.9800,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Piperacillin with tazobactam,2025,2025-06-01,9.7600,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Third Generation Cephalosporins,2025,2025-06-01,16.0800,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-05-01,1.7100,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,2025-05-01,0.1300,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,2025-05-01,16.4100,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Co-amoxiclav,2025,2025-05-01,42.7700,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,South East,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Gentamicin,2025,2025-05-01,11.4600,False
