theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-08-01,2.5300,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,2025-08-01,0.1600,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,2025-08-01,18.3900,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Co-amoxiclav,2025,2025-08-01,42.5000,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Gentamicin,2025,2025-08-01,10.8200,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Piperacillin with tazobactam,2025,2025-08-01,13.6200,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Third Generation Cephalosporins,2025,2025-08-01,14.9000,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-07-01,2.4900,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,2025-07-01,0.1700,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,2025-07-01,17.7100,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Co-amoxiclav,2025,2025-07-01,43.3300,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Gentamicin,2025,2025-07-01,10.2700,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Piperacillin with tazobactam,2025,2025-07-01,14.5500,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Third Generation Cephalosporins,2025,2025-07-01,15.0100,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-06-01,3.1400,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,2025-06-01,0.0900,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,2025-06-01,15.8400,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Co-amoxiclav,2025,2025-06-01,41.4700,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Gentamicin,2025,2025-06-01,9.9400,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Piperacillin with tazobactam,2025,2025-06-01,14.2400,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Third Generation Cephalosporins,2025,2025-06-01,16.0700,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-05-01,3.7000,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,2025-05-01,0.0000,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,2025-05-01,16.2100,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East of England,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Co-amoxiclav,2025,2025-05-01,38.9700,False
