theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-08-01,3.2300,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,2025-08-01,0.2000,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,2025-08-01,19.4600,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Co-amoxiclav,2025,2025-08-01,43.6800,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Gentamicin,2025,2025-08-01,8.8800,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Piperacillin with tazobactam,2025,2025-08-01,13.8500,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Third Generation Cephalosporins,2025,2025-08-01,17.7600,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-07-01,3.8300,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,2025-07-01,0.1900,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,2025-07-01,18.5800,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Co-amoxiclav,2025,2025-07-01,43.8600,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Gentamicin,2025,2025-07-01,9.1400,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Piperacillin with tazobactam,2025,2025-07-01,12.7100,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Third Generation Cephalosporins,2025,2025-07-01,17.5400,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-06-01,4.4200,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,2025-06-01,0.3000,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,2025-06-01,19.1600,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Co-amoxiclav,2025,2025-06-01,43.8300,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Gentamicin,2025,2025-06-01,9.6800,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Piperacillin with tazobactam,2025,2025-06-01,11.9800,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Third Generation Cephalosporins,2025,2025-06-01,17.2300,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-05-01,4.8900,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,2025-05-01,0.3100,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,2025-05-01,19.1200,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Co-amoxiclav,2025,2025-05-01,43.3900,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Gentamicin,2025,2025-05-01,10.3000,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Piperacillin with tazobactam,2025,2025-05-01,11.6500,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Third Generation Cephalosporins,2025,2025-05-01,16.5100,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2025,2025-04-01,4.0300,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,2025-04-01,0.3400,False
infectious_disease,antimicrobial_resistance,E-coli,UKHSA Region,East Midlands,e-coli_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,2025-04-01,19.9300,False
