,geography,stratum,date,organism,resistance_pct
0,East Midlands,Amikacin,2020-01-08,K-pneumoniae,0.0
1,East Midlands,Amikacin,2020-01-09,K-pneumoniae,0.89
2,East Midlands,Amikacin,2020-01-10,K-pneumoniae,1.74
3,East Midlands,Amikacin,2020-01-11,K-pneumoniae,1.64
4,East Midlands,Amikacin,2020-01-12,K-pneumoniae,1.61
5,East Midlands,Amikacin,2021-01-01,K-pneumoniae,0.68
6,East Midlands,Amikacin,2021-01-02,K-pneumoniae,0.71
7,East Midlands,Amikacin,2021-01-03,K-pneumoniae,0.71
8,East Midlands,Amikacin,2021-01-04,K-pneumoniae,0.79
9,East Midlands,Amikacin,2021-01-05,K-pneumoniae,0.76
10,East Midlands,Amikacin,2021-01-06,K-pneumoniae,0.0
11,East Midlands,Amikacin,2021-01-07,K-pneumoniae,0.71
12,East Midlands,Amikacin,2021-01-08,K-pneumoniae,2.34
13,East Midlands,Amikacin,2021-01-09,K-pneumoniae,2.68
14,East Midlands,Amikacin,2021-01-10,K-pneumoniae,1.55
15,East Midlands,Amikacin,2021-01-11,K-pneumoniae,0.74
16,East Midlands,Amikacin,2021-01-12,K-pneumoniae,0.73
17,East Midlands,Amikacin,2022-01-01,K-pneumoniae,1.83
18,East Midlands,Amikacin,2022-01-02,K-pneumoniae,1.0
19,East Midlands,Amikacin,2022-01-03,K-pneumoniae,1.05
20,East Midlands,Amikacin,2022-01-04,K-pneumoniae,0.0
21,East Midlands,Amikacin,2022-01-05,K-pneumoniae,0.88
22,East Midlands,Amikacin,2022-01-06,K-pneumoniae,0.79
23,East Midlands,Amikacin,2022-01-07,K-pneumoniae,2.36
24,East Midlands,Amikacin,2022-01-08,K-pneumoniae,2.26
25,East Midlands,Amikacin,2022-01-09,K-pneumoniae,2.16
26,East Midlands,Amikacin,2022-01-10,K-pneumoniae,0.75
27,East Midlands,Amikacin,2022-01-11,K-pneumoniae,0.0
28,East Midlands,Amikacin,2022-01-12,K-pneumoniae,0.0
29,East Midlands,Amikacin,2023-01-01,K-pneumoniae,0.78
30,East Midlands,Amikacin,2023-01-02,K-pneumoniae,0.81
31,East Midlands,Amikacin,2023-01-03,K-pneumoniae,1.82
32,East Midlands,Amikacin,2023-01-04,K-pneumoniae,0.76
33,East Midlands,Amikacin,2023-01-05,K-pneumoniae,1.45
34,East Midlands,Amikacin,2023-01-06,K-pneumoniae,1.41
35,East Midlands,Amikacin,2023-01-07,K-pneumoniae,2.36
36,East Midlands,Amikacin,2023-01-08,K-pneumoniae,1.61
37,East Midlands,Amikacin,2023-01-09,K-pneumoniae,0.75
38,East Midlands,Amikacin,2023-01-10,K-pneumoniae,0.0
39,East Midlands,Amikacin,2023-01-11,K-pneumoniae,0.0
40,East Midlands,Amikacin,2023-01-12,K-pneumoniae,2.07
41,East Midlands,Amikacin,2024-01-01,K-pneumoniae,2.26
42,East Midlands,Amikacin,2024-01-02,K-pneumoniae,2.29
43,East Midlands,Amikacin,2024-01-03,K-pneumoniae,0.0
44,East Midlands,Amikacin,2024-01-04,K-pneumoniae,1.45
