theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2025,2025-01-08,1.18,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2025,2025-01-07,1.05,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2025,2025-01-06,2.27,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2025,2025-01-05,2.11,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2025,2025-01-04,5.26,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2025,2025-01-03,4.26,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2025,2025-01-02,3.96,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2025,2025-01-01,2.0,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2024,2024-01-12,1.75,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2024,2024-01-11,4.31,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2024,2024-01-10,4.55,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2024,2024-01-09,4.3,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2024,2024-01-08,1.03,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2024,2024-01-07,1.15,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2024,2024-01-06,1.22,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2024,2024-01-05,1.39,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2024,2024-01-04,1.3,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2024,2024-01-03,3.57,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2024,2024-01-02,3.8,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2024,2024-01-01,2.67,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2023,2023-01-12,0.0,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2023,2023-01-11,2.74,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2023,2023-01-10,3.61,False
infectious_disease,antimicrobial_resistance,E-faecalis,UKHSA Region,East Midlands,e-faecalis_testing_bacteraemiaPercentResistantRollingMonth,all,all,Glycopeptides,2023,2023-01-09,3.53,False
