Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to NHS regions value or percentiles,Time period Sortable,New data,Compared to goal,Time period range
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,,,E92000001,England,England,Persons,All ages,,,Jan-14,1.846934438,,,,,36641600,54316618,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E92000001,England,E40000007,East of England NHS Region,NHS regions,Persons,All ages,,,Jan-14,1.925149824,,,,,2487022,3536917,Aggregated from all known lower geography values,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000002,Midlands And East Of England Commissioning Region,E38000007,Mid and South Essex ICB - 99E ,ICB sub-locations,Persons,All ages,,,Jan-14,1.940823436,,,,,181893,256590,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000002,Midlands And East Of England Commissioning Region,E38000030,Mid and South Essex ICB - 99F ,ICB sub-locations,Persons,All ages,,,Jan-14,1.957618237,,,,,124214,173721,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000002,Midlands And East Of England Commissioning Region,E38000049,Hertfordshire and West Essex ICB - 06K ,ICB sub-locations,Persons,All ages,,,Jan-14,1.904876351,,,,,383985,551896,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000002,Midlands And East Of England Commissioning Region,E38000079,Hertfordshire and West Essex ICB - 06N ,ICB sub-locations,Persons,All ages,,,Jan-14,1.770828009,,,,,377302,583341,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000002,Midlands And East Of England Commissioning Region,E38000086,Suffolk and North East Essex ICB - 06L ,ICB sub-locations,Persons,All ages,,,Jan-14,1.836631298,,,,,269004,401002,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000002,Midlands And East Of England Commissioning Region,E38000106,Mid and South Essex ICB - 06Q ,ICB sub-locations,Persons,All ages,,,Jan-14,1.922876835,,,,,270023,384467,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000002,Midlands And East Of England Commissioning Region,E38000117,Suffolk and North East Essex ICB - 06T ,ICB sub-locations,Persons,All ages,,,Jan-14,2.149128675,,,,,252264,321368,,,Not compared,Not compared,20140001,,,1m
92344,Twelve-month rolling total number of prescribed antibiotic items per 1000 resident individuals per day,E40000002,Midlands And East Of England Commissioning Region,E38000168,Mid and South Essex ICB - 99G ,ICB sub-locations,Persons,All ages,,,Jan-14,2.289521456,,,,,149159,178367,,,Not compared,Not compared,20140001,,,1m
