,organism,antibiotic,region,date,forecast
0,E-coli,Amikacin,East Midlands,2025-07-01,4.4864097
1,E-coli,Amikacin,East Midlands,2025-08-01,4.3279634
2,E-coli,Amikacin,East Midlands,2025-09-01,3.4318492
3,E-coli,Amikacin,East Midlands,2025-10-01,3.457128
4,E-coli,Amikacin,East Midlands,2025-11-01,3.6566553
5,E-coli,Amikacin,East Midlands,2025-12-01,3.8358438
6,E-coli,Amikacin,East of England,2025-07-01,3.8133469
7,E-coli,Amikacin,East of England,2025-08-01,3.4758317
8,E-coli,Amikacin,East of England,2025-09-01,3.2898493
9,E-coli,Amikacin,East of England,2025-10-01,3.1733375
10,E-coli,Amikacin,East of England,2025-11-01,3.2149124
11,E-coli,Amikacin,East of England,2025-12-01,3.3913937
12,E-coli,Amikacin,London,2025-07-01,2.0799
13,E-coli,Amikacin,London,2025-08-01,2.1749227
14,E-coli,Amikacin,London,2025-09-01,2.24753
15,E-coli,Amikacin,London,2025-10-01,2.1551857
16,E-coli,Amikacin,London,2025-11-01,2.046948
17,E-coli,Amikacin,London,2025-12-01,1.9971986
18,E-coli,Amikacin,North East,2025-07-01,1.6760583
19,E-coli,Amikacin,North East,2025-08-01,1.9882232
20,E-coli,Amikacin,North East,2025-09-01,2.3263314
21,E-coli,Amikacin,North East,2025-10-01,2.4315498
22,E-coli,Amikacin,North East,2025-11-01,2.4562874
23,E-coli,Amikacin,North East,2025-12-01,2.6043267
24,E-coli,Amikacin,North West,2025-07-01,4.2837353
25,E-coli,Amikacin,North West,2025-08-01,4.1070156
26,E-coli,Amikacin,North West,2025-09-01,3.878391
27,E-coli,Amikacin,North West,2025-10-01,3.5984724
28,E-coli,Amikacin,North West,2025-11-01,3.424192
29,E-coli,Amikacin,North West,2025-12-01,3.4292161
30,E-coli,Amikacin,South East,2025-07-01,1.7788363
31,E-coli,Amikacin,South East,2025-08-01,1.7840657
32,E-coli,Amikacin,South East,2025-09-01,1.7840657
33,E-coli,Amikacin,South East,2025-10-01,1.7752637
34,E-coli,Amikacin,South East,2025-11-01,1.7752637
35,E-coli,Amikacin,South East,2025-12-01,1.7752637
36,E-coli,Amikacin,South West,2025-07-01,1.9543958
37,E-coli,Amikacin,South West,2025-08-01,2.256824
38,E-coli,Amikacin,South West,2025-09-01,2.058226
39,E-coli,Amikacin,South West,2025-10-01,2.1521416
40,E-coli,Amikacin,South West,2025-11-01,1.9341896
41,E-coli,Amikacin,South West,2025-12-01,2.0870113
42,E-coli,Amikacin,West Midlands,2025-07-01,4.7605224
43,E-coli,Amikacin,West Midlands,2025-08-01,4.8803134
44,E-coli,Amikacin,West Midlands,2025-09-01,4.4573936
45,E-coli,Amikacin,West Midlands,2025-10-01,4.5637136
46,E-coli,Amikacin,West Midlands,2025-11-01,4.5209746
47,E-coli,Amikacin,West Midlands,2025-12-01,4.929376
48,E-coli,Amikacin,Yorkshire and Humber,2025-07-01,3.803669
49,E-coli,Amikacin,Yorkshire and Humber,2025-08-01,4.096491
50,E-coli,Amikacin,Yorkshire and Humber,2025-09-01,4.471741
51,E-coli,Amikacin,Yorkshire and Humber,2025-10-01,4.4443216
52,E-coli,Amikacin,Yorkshire and Humber,2025-11-01,4.770923
53,E-coli,Amikacin,Yorkshire and Humber,2025-12-01,4.8938475
54,E-coli,Carbapenems,East Midlands,2025-07-01,0.26052672
55,E-coli,Carbapenems,East Midlands,2025-08-01,0.24838552
56,E-coli,Carbapenems,East Midlands,2025-09-01,0.26052672
57,E-coli,Carbapenems,East Midlands,2025-10-01,0.24121006
58,E-coli,Carbapenems,East Midlands,2025-11-01,0.20633078
59,E-coli,Carbapenems,East Midlands,2025-12-01,0.21468139
60,E-coli,Carbapenems,East of England,2025-07-01,0.14245969
61,E-coli,Carbapenems,East of England,2025-08-01,0.16655359
62,E-coli,Carbapenems,East of England,2025-09-01,0.17237261
63,E-coli,Carbapenems,East of England,2025-10-01,0.1657651
64,E-coli,Carbapenems,East of England,2025-11-01,0.15460086
65,E-coli,Carbapenems,East of England,2025-12-01,0.15460086
66,E-coli,Carbapenems,London,2025-07-01,0.4506118
67,E-coli,Carbapenems,London,2025-08-01,0.2661324
68,E-coli,Carbapenems,London,2025-09-01,0.23972873
69,E-coli,Carbapenems,London,2025-10-01,0.20892115
70,E-coli,Carbapenems,London,2025-11-01,0.25258768
71,E-coli,Carbapenems,London,2025-12-01,0.1893676
72,E-coli,Carbapenems,North East,2025-07-01,0.1471906
73,E-coli,Carbapenems,North East,2025-08-01,0.1471906
74,E-coli,Carbapenems,North East,2025-09-01,0.1471906
75,E-coli,Carbapenems,North East,2025-10-01,0.1471906
76,E-coli,Carbapenems,North East,2025-11-01,0.1471906
77,E-coli,Carbapenems,North East,2025-12-01,0.1471906
78,E-coli,Carbapenems,North West,2025-07-01,0.1657651
79,E-coli,Carbapenems,North West,2025-08-01,0.15460086
80,E-coli,Carbapenems,North West,2025-09-01,0.15460086
81,E-coli,Carbapenems,North West,2025-10-01,0.15460086
82,E-coli,Carbapenems,North West,2025-11-01,0.15460086
83,E-coli,Carbapenems,North West,2025-12-01,0.15460086
84,E-coli,Carbapenems,South East,2025-07-01,0.16356821
85,E-coli,Carbapenems,South East,2025-08-01,0.17363581
86,E-coli,Carbapenems,South East,2025-09-01,0.17363581
87,E-coli,Carbapenems,South East,2025-10-01,0.16356821
88,E-coli,Carbapenems,South East,2025-11-01,0.16356821
89,E-coli,Carbapenems,South East,2025-12-01,0.16356821
90,E-coli,Carbapenems,South West,2025-07-01,0.12503666
91,E-coli,Carbapenems,South West,2025-08-01,0.12503666
92,E-coli,Carbapenems,South West,2025-09-01,0.13741863
93,E-coli,Carbapenems,South West,2025-10-01,0.12503666
94,E-coli,Carbapenems,South West,2025-11-01,0.12503666
95,E-coli,Carbapenems,South West,2025-12-01,0.12503666
96,E-coli,Carbapenems,West Midlands,2025-07-01,0.22758676
97,E-coli,Carbapenems,West Midlands,2025-08-01,0.2574095
98,E-coli,Carbapenems,West Midlands,2025-09-01,0.24347529
99,E-coli,Carbapenems,West Midlands,2025-10-01,0.19552784
100,E-coli,Carbapenems,West Midlands,2025-11-01,0.19626866
