,organism,antibiotic,region,date,forecast
0,E-coli,Amikacin,East Midlands,2025-07-01,4.4864097
1,E-coli,Amikacin,East Midlands,2025-08-01,4.2902613
2,E-coli,Amikacin,East Midlands,2025-09-01,3.4263818
3,E-coli,Amikacin,East Midlands,2025-10-01,3.493703
4,E-coli,Amikacin,East Midlands,2025-11-01,3.6687949
5,E-coli,Amikacin,East Midlands,2025-12-01,3.993684
6,E-coli,Amikacin,East of England,2025-07-01,3.8133469
7,E-coli,Amikacin,East of England,2025-08-01,3.474652
8,E-coli,Amikacin,East of England,2025-09-01,3.3156471
9,E-coli,Amikacin,East of England,2025-10-01,3.2159193
10,E-coli,Amikacin,East of England,2025-11-01,3.3306344
11,E-coli,Amikacin,East of England,2025-12-01,3.4721594
12,E-coli,Amikacin,London,2025-07-01,2.0799
13,E-coli,Amikacin,London,2025-08-01,2.2047377
14,E-coli,Amikacin,London,2025-09-01,2.3143032
15,E-coli,Amikacin,London,2025-10-01,2.3957
16,E-coli,Amikacin,London,2025-11-01,2.3756065
17,E-coli,Amikacin,London,2025-12-01,2.3148024
18,E-coli,Amikacin,North East,2025-07-01,1.6760583
19,E-coli,Amikacin,North East,2025-08-01,2.0378096
20,E-coli,Amikacin,North East,2025-09-01,2.3779075
21,E-coli,Amikacin,North East,2025-10-01,2.595752
22,E-coli,Amikacin,North East,2025-11-01,2.6539059
23,E-coli,Amikacin,North East,2025-12-01,2.9097927
24,E-coli,Amikacin,North West,2025-07-01,4.2837353
25,E-coli,Amikacin,North West,2025-08-01,4.100645
26,E-coli,Amikacin,North West,2025-09-01,3.902352
27,E-coli,Amikacin,North West,2025-10-01,3.6364324
28,E-coli,Amikacin,North West,2025-11-01,3.525147
29,E-coli,Amikacin,North West,2025-12-01,3.5594964
30,E-coli,Amikacin,South East,2025-07-01,1.7788363
31,E-coli,Amikacin,South East,2025-08-01,1.7793375
32,E-coli,Amikacin,South East,2025-09-01,1.7804699
33,E-coli,Amikacin,South East,2025-10-01,1.8009238
34,E-coli,Amikacin,South East,2025-11-01,1.7950804
35,E-coli,Amikacin,South East,2025-12-01,1.8125249
36,E-coli,Amikacin,South West,2025-07-01,1.9543958
37,E-coli,Amikacin,South West,2025-08-01,2.2452347
38,E-coli,Amikacin,South West,2025-09-01,2.0596893
39,E-coli,Amikacin,South West,2025-10-01,2.1950493
40,E-coli,Amikacin,South West,2025-11-01,2.0130806
41,E-coli,Amikacin,South West,2025-12-01,2.1524487
42,E-coli,Amikacin,West Midlands,2025-07-01,4.7605224
43,E-coli,Amikacin,West Midlands,2025-08-01,4.8374205
44,E-coli,Amikacin,West Midlands,2025-09-01,4.4309874
45,E-coli,Amikacin,West Midlands,2025-10-01,4.2837253
46,E-coli,Amikacin,West Midlands,2025-11-01,4.065234
47,E-coli,Amikacin,West Midlands,2025-12-01,4.3598075
48,E-coli,Amikacin,Yorkshire and Humber,2025-07-01,3.803669
49,E-coli,Amikacin,Yorkshire and Humber,2025-08-01,4.1460767
50,E-coli,Amikacin,Yorkshire and Humber,2025-09-01,4.555987
51,E-coli,Amikacin,Yorkshire and Humber,2025-10-01,4.58501
52,E-coli,Amikacin,Yorkshire and Humber,2025-11-01,4.9075646
53,E-coli,Amikacin,Yorkshire and Humber,2025-12-01,5.163769
54,E-coli,Carbapenems,East Midlands,2025-07-01,0.26052672
55,E-coli,Carbapenems,East Midlands,2025-08-01,0.21908647
56,E-coli,Carbapenems,East Midlands,2025-09-01,0.24070452
57,E-coli,Carbapenems,East Midlands,2025-10-01,0.25128633
58,E-coli,Carbapenems,East Midlands,2025-11-01,0.22017549
59,E-coli,Carbapenems,East Midlands,2025-12-01,0.24047796
60,E-coli,Carbapenems,East of England,2025-07-01,0.14245969
61,E-coli,Carbapenems,East of England,2025-08-01,0.16537379
62,E-coli,Carbapenems,East of England,2025-09-01,0.18400268
63,E-coli,Carbapenems,East of England,2025-10-01,0.19515252
64,E-coli,Carbapenems,East of England,2025-11-01,0.19674435
65,E-coli,Carbapenems,East of England,2025-12-01,0.20851664
66,E-coli,Carbapenems,London,2025-07-01,0.4506118
67,E-coli,Carbapenems,London,2025-08-01,0.2959475
68,E-coli,Carbapenems,London,2025-09-01,0.28754592
69,E-coli,Carbapenems,London,2025-10-01,0.30330744
70,E-coli,Carbapenems,London,2025-11-01,0.3333127
71,E-coli,Carbapenems,London,2025-12-01,0.3564758
72,E-coli,Carbapenems,North East,2025-07-01,0.1471906
73,E-coli,Carbapenems,North East,2025-08-01,0.1460108
74,E-coli,Carbapenems,North East,2025-09-01,0.15882067
75,E-coli,Carbapenems,North East,2025-10-01,0.18485859
76,E-coli,Carbapenems,North East,2025-11-01,0.19138308
77,E-coli,Carbapenems,North East,2025-12-01,0.21347871
78,E-coli,Carbapenems,North West,2025-07-01,0.1657651
79,E-coli,Carbapenems,North West,2025-08-01,0.15342106
80,E-coli,Carbapenems,North West,2025-09-01,0.16623093
81,E-coli,Carbapenems,North West,2025-10-01,0.18398827
82,E-coli,Carbapenems,North West,2025-11-01,0.19674435
83,E-coli,Carbapenems,North West,2025-12-01,0.2204694
84,E-coli,Carbapenems,South East,2025-07-01,0.16356821
85,E-coli,Carbapenems,South East,2025-08-01,0.16890752
86,E-coli,Carbapenems,South East,2025-09-01,0.16514842
87,E-coli,Carbapenems,South East,2025-10-01,0.18433695
88,E-coli,Carbapenems,South East,2025-11-01,0.16842577
89,E-coli,Carbapenems,South East,2025-12-01,0.17918766
90,E-coli,Carbapenems,South West,2025-07-01,0.12503666
91,E-coli,Carbapenems,South West,2025-08-01,0.12185158
92,E-coli,Carbapenems,South West,2025-09-01,0.14809097
93,E-coli,Carbapenems,South West,2025-10-01,0.18953556
94,E-coli,Carbapenems,South West,2025-11-01,0.18101536
95,E-coli,Carbapenems,South West,2025-12-01,0.16804731
96,E-coli,Carbapenems,West Midlands,2025-07-01,0.22758676
97,E-coli,Carbapenems,West Midlands,2025-08-01,0.22811058
98,E-coli,Carbapenems,West Midlands,2025-09-01,0.2357943
99,E-coli,Carbapenems,West Midlands,2025-10-01,0.20205441
100,E-coli,Carbapenems,West Midlands,2025-11-01,0.20822276
101,E-coli,Carbapenems,West Midlands,2025-12-01,0.23212732
102,E-coli,Carbapenems,Yorkshire and Humber,2025-07-01,0.16421561
103,E-coli,Carbapenems,Yorkshire and Humber,2025-08-01,0.19904864
104,E-coli,Carbapenems,Yorkshire and Humber,2025-09-01,0.22470444
105,E-coli,Carbapenems,Yorkshire and Humber,2025-10-01,0.23239379
106,E-coli,Carbapenems,Yorkshire and Humber,2025-11-01,0.20974632
107,E-coli,Carbapenems,Yorkshire and Humber,2025-12-01,0.2198892
108,E-coli,Ciprofloxacin,East Midlands,2025-07-01,19.3544
109,E-coli,Ciprofloxacin,East Midlands,2025-08-01,18.861755
110,E-coli,Ciprofloxacin,East Midlands,2025-09-01,19.263374
111,E-coli,Ciprofloxacin,East Midlands,2025-10-01,19.396242
112,E-coli,Ciprofloxacin,East Midlands,2025-11-01,19.41575
113,E-coli,Ciprofloxacin,East Midlands,2025-12-01,19.496809
114,E-coli,Ciprofloxacin,East of England,2025-07-01,16.357779
115,E-coli,Ciprofloxacin,East of England,2025-08-01,16.603373
116,E-coli,Ciprofloxacin,East of England,2025-09-01,17.187737
117,E-coli,Ciprofloxacin,East of England,2025-10-01,17.706923
118,E-coli,Ciprofloxacin,East of England,2025-11-01,18.22474
119,E-coli,Ciprofloxacin,East of England,2025-12-01,18.77342
120,E-coli,Ciprofloxacin,London,2025-07-01,28.698715
121,E-coli,Ciprofloxacin,London,2025-08-01,28.23566
122,E-coli,Ciprofloxacin,London,2025-09-01,27.900013
123,E-coli,Ciprofloxacin,London,2025-10-01,27.827414
124,E-coli,Ciprofloxacin,London,2025-11-01,27.987099
125,E-coli,Ciprofloxacin,London,2025-12-01,28.838614
126,E-coli,Ciprofloxacin,North East,2025-07-01,11.706578
127,E-coli,Ciprofloxacin,North East,2025-08-01,11.753461
128,E-coli,Ciprofloxacin,North East,2025-09-01,12.178932
129,E-coli,Ciprofloxacin,North East,2025-10-01,12.081306
130,E-coli,Ciprofloxacin,North East,2025-11-01,12.052922
131,E-coli,Ciprofloxacin,North East,2025-12-01,11.985834
132,E-coli,Ciprofloxacin,North West,2025-07-01,21.684547
133,E-coli,Ciprofloxacin,North West,2025-08-01,20.768799
134,E-coli,Ciprofloxacin,North West,2025-09-01,20.552488
135,E-coli,Ciprofloxacin,North West,2025-10-01,20.612637
136,E-coli,Ciprofloxacin,North West,2025-11-01,20.826069
137,E-coli,Ciprofloxacin,North West,2025-12-01,20.63696
138,E-coli,Ciprofloxacin,South East,2025-07-01,17.034592
139,E-coli,Ciprofloxacin,South East,2025-08-01,16.922571
140,E-coli,Ciprofloxacin,South East,2025-09-01,16.985813
141,E-coli,Ciprofloxacin,South East,2025-10-01,17.068026
142,E-coli,Ciprofloxacin,South East,2025-11-01,17.097641
143,E-coli,Ciprofloxacin,South East,2025-12-01,17.111057
144,E-coli,Ciprofloxacin,South West,2025-07-01,14.012522
145,E-coli,Ciprofloxacin,South West,2025-08-01,14.273585
146,E-coli,Ciprofloxacin,South West,2025-09-01,14.317913
147,E-coli,Ciprofloxacin,South West,2025-10-01,14.54096
148,E-coli,Ciprofloxacin,South West,2025-11-01,14.689633
149,E-coli,Ciprofloxacin,South West,2025-12-01,14.611035
150,E-coli,Ciprofloxacin,West Midlands,2025-07-01,21.779747
151,E-coli,Ciprofloxacin,West Midlands,2025-08-01,21.771189
152,E-coli,Ciprofloxacin,West Midlands,2025-09-01,22.247742
153,E-coli,Ciprofloxacin,West Midlands,2025-10-01,22.475307
154,E-coli,Ciprofloxacin,West Midlands,2025-11-01,22.719683
155,E-coli,Ciprofloxacin,West Midlands,2025-12-01,23.69159
156,E-coli,Ciprofloxacin,Yorkshire and Humber,2025-07-01,18.68804
157,E-coli,Ciprofloxacin,Yorkshire and Humber,2025-08-01,18.303734
158,E-coli,Ciprofloxacin,Yorkshire and Humber,2025-09-01,18.44812
159,E-coli,Ciprofloxacin,Yorkshire and Humber,2025-10-01,18.622017
160,E-coli,Ciprofloxacin,Yorkshire and Humber,2025-11-01,18.928259
161,E-coli,Ciprofloxacin,Yorkshire and Humber,2025-12-01,19.061565
162,E-coli,Co-amoxiclav,East Midlands,2025-07-01,42.895145
163,E-coli,Co-amoxiclav,East Midlands,2025-08-01,42.09986
164,E-coli,Co-amoxiclav,East Midlands,2025-09-01,41.925304
165,E-coli,Co-amoxiclav,East Midlands,2025-10-01,41.24061
166,E-coli,Co-amoxiclav,East Midlands,2025-11-01,40.768295
167,E-coli,Co-amoxiclav,East Midlands,2025-12-01,41.138966
168,E-coli,Co-amoxiclav,East of England,2025-07-01,39.64033
169,E-coli,Co-amoxiclav,East of England,2025-08-01,40.654945
170,E-coli,Co-amoxiclav,East of England,2025-09-01,41.729588
171,E-coli,Co-amoxiclav,East of England,2025-10-01,42.729176
172,E-coli,Co-amoxiclav,East of England,2025-11-01,43.289257
173,E-coli,Co-amoxiclav,East of England,2025-12-01,43.5294
174,E-coli,Co-amoxiclav,London,2025-07-01,44.24516
175,E-coli,Co-amoxiclav,London,2025-08-01,44.665047
176,E-coli,Co-amoxiclav,London,2025-09-01,44.40698
177,E-coli,Co-amoxiclav,London,2025-10-01,44.632683
178,E-coli,Co-amoxiclav,London,2025-11-01,43.959957
