,geography,stratum,date,resistance_pct,organism,lag,target_month
0,East Midlands,Glycopeptides,2020-08-01,22.67,e_faecalis,,20.67
1,East Midlands,Glycopeptides,2020-09-01,20.67,e_faecalis,,18.67
2,East Midlands,Glycopeptides,2020-10-01,18.67,e_faecalis,,22.0
3,East Midlands,Glycopeptides,2020-11-01,22.0,e_faecalis,,24.67
4,East Midlands,Glycopeptides,2020-12-01,24.67,e_faecalis,,33.67
5,East Midlands,Glycopeptides,2021-01-01,33.67,e_faecalis,,36.67
6,East Midlands,Glycopeptides,2021-02-01,36.67,e_faecalis,,41.33
7,East Midlands,Glycopeptides,2021-03-01,41.33,e_faecalis,,39.67
8,East Midlands,Glycopeptides,2021-04-01,39.67,e_faecalis,,41.33
9,East Midlands,Glycopeptides,2021-05-01,41.33,e_faecalis,,40.67
10,East Midlands,Glycopeptides,2021-06-01,40.67,e_faecalis,,43.33
11,East Midlands,Glycopeptides,2021-07-01,43.33,e_faecalis,,43.67
12,East Midlands,Glycopeptides,2021-08-01,43.67,e_faecalis,22.67,42.67
13,East Midlands,Glycopeptides,2021-09-01,42.67,e_faecalis,20.67,38.33
14,East Midlands,Glycopeptides,2021-10-01,38.33,e_faecalis,18.67,35.0
15,East Midlands,Glycopeptides,2021-11-01,35.0,e_faecalis,22.0,31.0
16,East Midlands,Glycopeptides,2021-12-01,31.0,e_faecalis,24.67,29.67
17,East Midlands,Glycopeptides,2022-01-01,29.67,e_faecalis,33.67,25.0
18,East Midlands,Glycopeptides,2022-02-01,25.0,e_faecalis,36.67,24.33
19,East Midlands,Glycopeptides,2022-03-01,24.33,e_faecalis,41.33,27.0
20,East Midlands,Glycopeptides,2022-04-01,27.0,e_faecalis,39.67,29.0
21,East Midlands,Glycopeptides,2022-05-01,29.0,e_faecalis,41.33,29.67
22,East Midlands,Glycopeptides,2022-06-01,29.67,e_faecalis,40.67,25.33
23,East Midlands,Glycopeptides,2022-07-01,25.33,e_faecalis,43.33,25.0
24,East Midlands,Glycopeptides,2022-08-01,25.0,e_faecalis,43.67,27.33
25,East Midlands,Glycopeptides,2022-09-01,27.33,e_faecalis,42.67,31.33
26,East Midlands,Glycopeptides,2022-10-01,31.33,e_faecalis,38.33,33.33
27,East Midlands,Glycopeptides,2022-11-01,33.33,e_faecalis,35.0,31.33
28,East Midlands,Glycopeptides,2022-12-01,31.33,e_faecalis,31.0,27.33
29,East Midlands,Glycopeptides,2023-01-01,27.33,e_faecalis,29.67,23.67
30,East Midlands,Glycopeptides,2023-02-01,23.67,e_faecalis,25.0,23.33
