,geography,stratum,date,resistance_pct,organism,series_id,model_region,prescribing_rate
0,East of England,Glycopeptides,2020-08-01,30.0,e_faecalis,e_faecalis__Glycopeptides__East of England,East of England,1.52
1,East of England,Glycopeptides,2020-08-01,28.33,e_faecium,e_faecium__Glycopeptides__East of England,East of England,1.52
2,East of England,Amikacin,2020-08-01,0.64,k_pneumoniae,k_pneumoniae__Amikacin__East of England,East of England,1.52
3,East of England,Carbapenems,2020-08-01,0.0,k_pneumoniae,k_pneumoniae__Carbapenems__East of England,East of England,1.52
4,East of England,Ciprofloxacin,2020-08-01,11.06,k_pneumoniae,k_pneumoniae__Ciprofloxacin__East of England,East of England,1.52
5,East of England,Co-amoxiclav,2020-08-01,27.04,k_pneumoniae,k_pneumoniae__Co-amoxiclav__East of England,East of England,1.52
6,East of England,Gentamicin,2020-08-01,4.9,k_pneumoniae,k_pneumoniae__Gentamicin__East of England,East of England,1.52
7,East of England,Piperacillin with tazobactam,2020-08-01,22.0,k_pneumoniae,k_pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.52
8,East of England,Third Generation Cephalosporins,2020-08-01,10.78,k_pneumoniae,k_pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.52
9,East of England,Amikacin,2020-08-01,2.56,p_aeruginosa,p_aeruginosa__Amikacin__East of England,East of England,1.52
10,East of England,Carbapenems,2020-08-01,5.34,p_aeruginosa,p_aeruginosa__Carbapenems__East of England,East of England,1.52
11,East of England,Ceftazidime,2020-08-01,8.73,p_aeruginosa,p_aeruginosa__Ceftazidime__East of England,East of England,1.52
12,East of England,Ciprofloxacin,2020-08-01,10.0,p_aeruginosa,p_aeruginosa__Ciprofloxacin__East of England,East of England,1.52
13,East of England,Piperacillin with tazobactam,2020-08-01,10.77,p_aeruginosa,p_aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.52
14,East of England,Macrolides,2020-08-01,0.0,s_pneumoniae,s_pneumoniae__Macrolides__East of England,East of England,1.52
15,East of England,Penicillin,2020-08-01,5.88,s_pneumoniae,s_pneumoniae__Penicillin__East of England,East of England,1.52
16,East of England,Glycopeptides,2020-09-01,31.0,e_faecalis,e_faecalis__Glycopeptides__East of England,East of England,1.51
17,East of England,Glycopeptides,2020-09-01,26.67,e_faecium,e_faecium__Glycopeptides__East of England,East of England,1.51
18,East of England,Amikacin,2020-09-01,1.23,k_pneumoniae,k_pneumoniae__Amikacin__East of England,East of England,1.51
19,East of England,Carbapenems,2020-09-01,0.93,k_pneumoniae,k_pneumoniae__Carbapenems__East of England,East of England,1.51
20,East of England,Ciprofloxacin,2020-09-01,13.46,k_pneumoniae,k_pneumoniae__Ciprofloxacin__East of England,East of England,1.51
21,East of England,Co-amoxiclav,2020-09-01,30.05,k_pneumoniae,k_pneumoniae__Co-amoxiclav__East of England,East of England,1.51
22,East of England,Gentamicin,2020-09-01,7.62,k_pneumoniae,k_pneumoniae__Gentamicin__East of England,East of England,1.51
23,East of England,Piperacillin with tazobactam,2020-09-01,25.24,k_pneumoniae,k_pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.51
24,East of England,Third Generation Cephalosporins,2020-09-01,12.26,k_pneumoniae,k_pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.51
25,East of England,Amikacin,2020-09-01,1.27,p_aeruginosa,p_aeruginosa__Amikacin__East of England,East of England,1.51
26,East of England,Carbapenems,2020-09-01,4.29,p_aeruginosa,p_aeruginosa__Carbapenems__East of England,East of England,1.51
27,East of England,Ceftazidime,2020-09-01,7.41,p_aeruginosa,p_aeruginosa__Ceftazidime__East of England,East of England,1.51
28,East of England,Ciprofloxacin,2020-09-01,7.09,p_aeruginosa,p_aeruginosa__Ciprofloxacin__East of England,East of England,1.51
29,East of England,Piperacillin with tazobactam,2020-09-01,9.29,p_aeruginosa,p_aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.51
30,East of England,Macrolides,2020-09-01,4.35,s_pneumoniae,s_pneumoniae__Macrolides__East of England,East of England,1.51
31,East of England,Penicillin,2020-09-01,5.0,s_pneumoniae,s_pneumoniae__Penicillin__East of England,East of England,1.51
32,East of England,Glycopeptides,2020-10-01,29.33,e_faecalis,e_faecalis__Glycopeptides__East of England,East of England,1.49
33,East of England,Glycopeptides,2020-10-01,26.67,e_faecium,e_faecium__Glycopeptides__East of England,East of England,1.49
34,East of England,Amikacin,2020-10-01,0.61,k_pneumoniae,k_pneumoniae__Amikacin__East of England,East of England,1.49
35,East of England,Carbapenems,2020-10-01,1.47,k_pneumoniae,k_pneumoniae__Carbapenems__East of England,East of England,1.49
36,East of England,Ciprofloxacin,2020-10-01,14.56,k_pneumoniae,k_pneumoniae__Ciprofloxacin__East of England,East of England,1.49
37,East of England,Co-amoxiclav,2020-10-01,34.01,k_pneumoniae,k_pneumoniae__Co-amoxiclav__East of England,East of England,1.49
38,East of England,Gentamicin,2020-10-01,9.8,k_pneumoniae,k_pneumoniae__Gentamicin__East of England,East of England,1.49
39,East of England,Piperacillin with tazobactam,2020-10-01,28.14,k_pneumoniae,k_pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.49
40,East of England,Third Generation Cephalosporins,2020-10-01,13.37,k_pneumoniae,k_pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.49
41,East of England,Amikacin,2020-10-01,1.49,p_aeruginosa,p_aeruginosa__Amikacin__East of England,East of England,1.49
42,East of England,Carbapenems,2020-10-01,3.42,p_aeruginosa,p_aeruginosa__Carbapenems__East of England,East of England,1.49
43,East of England,Ceftazidime,2020-10-01,6.84,p_aeruginosa,p_aeruginosa__Ceftazidime__East of England,East of England,1.49
44,East of England,Ciprofloxacin,2020-10-01,4.17,p_aeruginosa,p_aeruginosa__Ciprofloxacin__East of England,East of England,1.49
45,East of England,Piperacillin with tazobactam,2020-10-01,10.08,p_aeruginosa,p_aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.49
46,East of England,Macrolides,2020-10-01,8.82,s_pneumoniae,s_pneumoniae__Macrolides__East of England,East of England,1.49
47,East of England,Penicillin,2020-10-01,3.33,s_pneumoniae,s_pneumoniae__Penicillin__East of England,East of England,1.49
48,East of England,Glycopeptides,2020-11-01,25.33,e_faecalis,e_faecalis__Glycopeptides__East of England,East of England,1.45
49,East of England,Glycopeptides,2020-11-01,26.33,e_faecium,e_faecium__Glycopeptides__East of England,East of England,1.45
50,East of England,Amikacin,2020-11-01,1.37,k_pneumoniae,k_pneumoniae__Amikacin__East of England,East of England,1.45
51,East of England,Carbapenems,2020-11-01,2.13,k_pneumoniae,k_pneumoniae__Carbapenems__East of England,East of England,1.45
52,East of England,Ciprofloxacin,2020-11-01,17.99,k_pneumoniae,k_pneumoniae__Ciprofloxacin__East of England,East of England,1.45
53,East of England,Co-amoxiclav,2020-11-01,36.56,k_pneumoniae,k_pneumoniae__Co-amoxiclav__East of England,East of England,1.45
54,East of England,Gentamicin,2020-11-01,11.11,k_pneumoniae,k_pneumoniae__Gentamicin__East of England,East of England,1.45
55,East of England,Piperacillin with tazobactam,2020-11-01,29.57,k_pneumoniae,k_pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.45
56,East of England,Third Generation Cephalosporins,2020-11-01,14.89,k_pneumoniae,k_pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.45
57,East of England,Amikacin,2020-11-01,0.0,p_aeruginosa,p_aeruginosa__Amikacin__East of England,East of England,1.45
58,East of England,Carbapenems,2020-11-01,1.87,p_aeruginosa,p_aeruginosa__Carbapenems__East of England,East of England,1.45
59,East of England,Ceftazidime,2020-11-01,6.54,p_aeruginosa,p_aeruginosa__Ceftazidime__East of England,East of England,1.45
