geography,stratum,date,organism,resistance_pct,series_id,model_region,prescribing_rate,month,sin_month,cos_month,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,presc_lag_1,presc_lag_3,presc_lag_6,trend,prescribing_x_month,roll_mean_3,roll_mean_6,roll_std_6,presc_roll_mean_3
East Midlands,Amikacin,2021-10-01,E-coli,1.52,E-coli__Amikacin__East Midlands,Midlands,1.34,10,-0.8660254037844386,0.5000000000000001,1.85,2.07,1.64,1.93,1.65,1.59,0.94,0.17,0.53,0.93,0.92,0.53,1.31,1.28,1.25,0.2100000000000002,13.4,1.8533333333333333,1.7883333333333333,0.19166811593655012,1.2966666666666669
East Midlands,Amikacin,2021-11-01,E-coli,1.17,E-coli__Amikacin__East Midlands,Midlands,1.37,11,-0.5000000000000004,0.8660254037844384,1.52,1.85,2.07,1.64,1.93,1.65,1.59,0.94,0.17,0.53,0.93,0.92,1.34,1.3,1.25,-0.5499999999999998,15.07,1.8133333333333332,1.7766666666666666,0.207621450401125,1.3166666666666667
East Midlands,Amikacin,2021-12-01,E-coli,0.72,E-coli__Amikacin__East Midlands,Midlands,1.41,12,-2.4492935982947064e-16,1.0,1.17,1.52,1.85,2.07,1.64,1.93,1.65,1.59,0.94,0.17,0.53,0.93,1.37,1.31,1.26,-0.6800000000000002,16.919999999999998,1.513333333333333,1.6966666666666665,0.32531010846062985,1.34
East Midlands,Amikacin,2022-01-01,E-coli,1.9,E-coli__Amikacin__East Midlands,Midlands,1.41,1,0.49999999999999994,0.8660254037844387,0.72,1.17,1.52,1.85,2.07,1.64,1.93,1.65,1.59,0.94,0.17,0.53,1.41,1.34,1.28,-0.8,1.41,1.1366666666666665,1.495,0.48673401360496676,1.3733333333333333
East Midlands,Amikacin,2022-02-01,E-coli,2.43,E-coli__Amikacin__East Midlands,Midlands,1.43,2,0.8660254037844386,0.5000000000000001,1.9,0.72,1.17,1.52,1.85,2.07,1.64,1.93,1.65,1.59,0.94,0.17,1.41,1.37,1.3,0.73,2.86,1.263333333333333,1.5383333333333333,0.51308543797955,1.3966666666666665
East Midlands,Amikacin,2022-03-01,E-coli,2.79,E-coli__Amikacin__East Midlands,Midlands,1.46,3,1.0,6.123233995736766e-17,2.43,1.9,0.72,1.17,1.52,1.85,2.07,1.64,1.93,1.65,1.59,0.94,1.43,1.41,1.31,1.7100000000000002,4.38,1.6833333333333333,1.5983333333333334,0.601179396408981,1.4166666666666667
East Midlands,Amikacin,2022-04-01,E-coli,1.99,E-coli__Amikacin__East Midlands,Midlands,1.48,4,0.8660254037844387,-0.4999999999999998,2.79,2.43,1.9,0.72,1.17,1.52,1.85,2.07,1.64,1.93,1.65,1.59,1.46,1.41,1.34,0.8900000000000001,5.92,2.3733333333333335,1.7550000000000001,0.77673032643254,1.4333333333333333
East Midlands,Amikacin,2022-05-01,E-coli,1.93,E-coli__Amikacin__East Midlands,Midlands,1.5,5,0.49999999999999994,-0.8660254037844387,1.99,2.79,2.43,1.9,0.72,1.17,1.52,1.85,2.07,1.64,1.93,1.65,1.48,1.43,1.37,-0.44000000000000017,7.5,2.4033333333333333,1.8333333333333333,0.771975820001292,1.4566666666666668
East Midlands,Amikacin,2022-06-01,E-coli,1.8,E-coli__Amikacin__East Midlands,Midlands,1.51,6,1.2246467991473532e-16,-1.0,1.93,1.99,2.79,2.43,1.9,0.72,1.17,1.52,1.85,2.07,1.64,1.93,1.5,1.46,1.41,-0.8600000000000001,9.06,2.236666666666667,1.9600000000000002,0.7003998857795456,1.4800000000000002
East Midlands,Amikacin,2022-07-01,E-coli,1.94,E-coli__Amikacin__East Midlands,Midlands,1.52,7,-0.4999999999999997,-0.8660254037844388,1.8,1.93,1.99,2.79,2.43,1.9,0.72,1.17,1.52,1.85,2.07,1.64,1.51,1.48,1.41,-0.18999999999999995,10.64,1.9066666666666665,2.14,0.3863677005133846,1.4966666666666668
East Midlands,Amikacin,2022-08-01,E-coli,1.42,E-coli__Amikacin__East Midlands,Midlands,1.53,8,-0.8660254037844385,-0.5000000000000004,1.94,1.8,1.93,1.99,2.79,2.43,1.9,0.72,1.17,1.52,1.85,2.07,1.52,1.5,1.43,0.010000000000000009,12.24,1.89,2.1466666666666665,0.3817154262885732,1.5099999999999998
East Midlands,Amikacin,2022-09-01,E-coli,1.08,E-coli__Amikacin__East Midlands,Midlands,1.52,9,-1.0,-1.8369701987210297e-16,1.42,1.94,1.8,1.93,1.99,2.79,2.43,1.9,0.72,1.17,1.52,1.85,1.53,1.51,1.46,-0.3800000000000001,13.68,1.72,1.9783333333333333,0.448616391437793,1.5199999999999998
