,organism,antibiotic,region,date,forecast
0,E-coli,Amikacin,East Midlands,2025-07-01,4.432085
1,E-coli,Amikacin,East Midlands,2025-08-01,4.0594616
2,E-coli,Amikacin,East Midlands,2025-09-01,3.2945664
3,E-coli,Amikacin,East Midlands,2025-10-01,3.3030345
4,E-coli,Amikacin,East Midlands,2025-11-01,3.4330692
5,E-coli,Amikacin,East Midlands,2025-12-01,3.6789796
6,E-coli,Amikacin,East of England,2025-07-01,3.7104726
7,E-coli,Amikacin,East of England,2025-08-01,3.4206681
8,E-coli,Amikacin,East of England,2025-09-01,3.340389
9,E-coli,Amikacin,East of England,2025-10-01,3.4051588
10,E-coli,Amikacin,East of England,2025-11-01,3.5171545
11,E-coli,Amikacin,East of England,2025-12-01,3.6912136
12,E-coli,Amikacin,London,2025-07-01,2.208963
13,E-coli,Amikacin,London,2025-08-01,2.2633257
14,E-coli,Amikacin,London,2025-09-01,2.2482564
15,E-coli,Amikacin,London,2025-10-01,2.2147443
16,E-coli,Amikacin,London,2025-11-01,2.1811168
17,E-coli,Amikacin,London,2025-12-01,2.3960369
18,E-coli,Amikacin,North East,2025-07-01,1.4637715
19,E-coli,Amikacin,North East,2025-08-01,1.600367
20,E-coli,Amikacin,North East,2025-09-01,2.0146048
21,E-coli,Amikacin,North East,2025-10-01,2.23533
22,E-coli,Amikacin,North East,2025-11-01,2.3563151
23,E-coli,Amikacin,North East,2025-12-01,2.8117201
24,E-coli,Amikacin,North West,2025-07-01,4.176914
25,E-coli,Amikacin,North West,2025-08-01,3.8401923
26,E-coli,Amikacin,North West,2025-09-01,3.619841
27,E-coli,Amikacin,North West,2025-10-01,3.4379325
28,E-coli,Amikacin,North West,2025-11-01,3.6380308
29,E-coli,Amikacin,North West,2025-12-01,3.9177485
30,E-coli,Amikacin,South East,2025-07-01,1.8004009
31,E-coli,Amikacin,South East,2025-08-01,1.8337994
32,E-coli,Amikacin,South East,2025-09-01,1.8021975
