,geography,stratum,date,organism,resistance_pct,series_id,model_region,prescribing_rate,month
0,East Midlands,Amikacin,2020-10-01,E-coli,0.53,E-coli__Amikacin__East Midlands,Midlands,1.46,10
1,East Midlands,Amikacin,2020-11-01,E-coli,0.92,E-coli__Amikacin__East Midlands,Midlands,1.43,11
2,East Midlands,Amikacin,2020-12-01,E-coli,0.93,E-coli__Amikacin__East Midlands,Midlands,1.38,12
3,East Midlands,Amikacin,2021-01-01,E-coli,0.53,E-coli__Amikacin__East Midlands,Midlands,1.33,1
4,East Midlands,Amikacin,2021-02-01,E-coli,0.17,E-coli__Amikacin__East Midlands,Midlands,1.29,2
5,East Midlands,Amikacin,2021-03-01,E-coli,0.94,E-coli__Amikacin__East Midlands,Midlands,1.26,3
6,East Midlands,Amikacin,2021-04-01,E-coli,1.59,E-coli__Amikacin__East Midlands,Midlands,1.25,4
7,East Midlands,Amikacin,2021-05-01,E-coli,1.65,E-coli__Amikacin__East Midlands,Midlands,1.25,5
8,East Midlands,Amikacin,2021-06-01,E-coli,1.93,E-coli__Amikacin__East Midlands,Midlands,1.26,6
9,East Midlands,Amikacin,2021-07-01,E-coli,1.64,E-coli__Amikacin__East Midlands,Midlands,1.28,7
10,East Midlands,Amikacin,2021-08-01,E-coli,2.07,E-coli__Amikacin__East Midlands,Midlands,1.3,8
11,East Midlands,Amikacin,2021-09-01,E-coli,1.85,E-coli__Amikacin__East Midlands,Midlands,1.31,9
12,East Midlands,Amikacin,2021-10-01,E-coli,1.52,E-coli__Amikacin__East Midlands,Midlands,1.34,10
13,East Midlands,Amikacin,2021-11-01,E-coli,1.17,E-coli__Amikacin__East Midlands,Midlands,1.37,11
14,East Midlands,Amikacin,2021-12-01,E-coli,0.72,E-coli__Amikacin__East Midlands,Midlands,1.41,12
15,East Midlands,Amikacin,2022-01-01,E-coli,1.9,E-coli__Amikacin__East Midlands,Midlands,1.41,1
16,East Midlands,Amikacin,2022-02-01,E-coli,2.43,E-coli__Amikacin__East Midlands,Midlands,1.43,2
17,East Midlands,Amikacin,2022-03-01,E-coli,2.79,E-coli__Amikacin__East Midlands,Midlands,1.46,3
18,East Midlands,Amikacin,2022-04-01,E-coli,1.99,E-coli__Amikacin__East Midlands,Midlands,1.48,4
19,East Midlands,Amikacin,2022-05-01,E-coli,1.93,E-coli__Amikacin__East Midlands,Midlands,1.5,5
20,East Midlands,Amikacin,2022-06-01,E-coli,1.8,E-coli__Amikacin__East Midlands,Midlands,1.51,6
21,East Midlands,Amikacin,2022-07-01,E-coli,1.94,E-coli__Amikacin__East Midlands,Midlands,1.52,7
22,East Midlands,Amikacin,2022-08-01,E-coli,1.42,E-coli__Amikacin__East Midlands,Midlands,1.53,8
23,East Midlands,Amikacin,2022-09-01,E-coli,1.08,E-coli__Amikacin__East Midlands,Midlands,1.52,9
24,East Midlands,Amikacin,2022-10-01,E-coli,1.26,E-coli__Amikacin__East Midlands,Midlands,1.52,10
25,East Midlands,Amikacin,2022-11-01,E-coli,1.76,E-coli__Amikacin__East Midlands,Midlands,1.53,11
26,East Midlands,Amikacin,2022-12-01,E-coli,2.72,E-coli__Amikacin__East Midlands,Midlands,1.6,12
27,East Midlands,Amikacin,2023-01-01,E-coli,2.72,E-coli__Amikacin__East Midlands,Midlands,1.65,1
28,East Midlands,Amikacin,2023-02-01,E-coli,2.33,E-coli__Amikacin__East Midlands,Midlands,1.68,2
29,East Midlands,Amikacin,2023-03-01,E-coli,1.23,E-coli__Amikacin__East Midlands,Midlands,1.7,3
30,East Midlands,Amikacin,2023-04-01,E-coli,1.75,E-coli__Amikacin__East Midlands,Midlands,1.71,4
31,East Midlands,Amikacin,2023-05-01,E-coli,1.94,E-coli__Amikacin__East Midlands,Midlands,1.71,5
32,East Midlands,Amikacin,2023-06-01,E-coli,3.62,E-coli__Amikacin__East Midlands,Midlands,1.72,6
33,East Midlands,Amikacin,2023-07-01,E-coli,3.63,E-coli__Amikacin__East Midlands,Midlands,1.71,7
34,East Midlands,Amikacin,2023-08-01,E-coli,3.45,E-coli__Amikacin__East Midlands,Midlands,1.72,8
35,East Midlands,Amikacin,2023-09-01,E-coli,2.85,E-coli__Amikacin__East Midlands,Midlands,1.72,9
36,East Midlands,Amikacin,2023-10-01,E-coli,3.04,E-coli__Amikacin__East Midlands,Midlands,1.72,10
37,East Midlands,Amikacin,2023-11-01,E-coli,3.71,E-coli__Amikacin__East Midlands,Midlands,1.72,11
38,East Midlands,Amikacin,2023-12-01,E-coli,2.91,E-coli__Amikacin__East Midlands,Midlands,1.66,12
39,East Midlands,Amikacin,2024-01-01,E-coli,1.96,E-coli__Amikacin__East Midlands,Midlands,1.65,1
40,East Midlands,Amikacin,2024-02-01,E-coli,2.9,E-coli__Amikacin__East Midlands,Midlands,1.65,2
41,East Midlands,Amikacin,2024-03-01,E-coli,3.15,E-coli__Amikacin__East Midlands,Midlands,1.64,3
