,geography,stratum,date,resistance_pct,organism,series_id,model_region,prescribing_rate,month,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
12,East Midlands,Glycopeptides,2021-08-01,43.67,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.3,8,43.33,40.67,41.33,39.67,41.33,36.67,33.67,24.67,22.0,18.67,20.67,22.67
13,East Midlands,Glycopeptides,2021-09-01,42.67,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.31,9,43.67,43.33,40.67,41.33,39.67,41.33,36.67,33.67,24.67,22.0,18.67,20.67
14,East Midlands,Glycopeptides,2021-10-01,38.33,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.34,10,42.67,43.67,43.33,40.67,41.33,39.67,41.33,36.67,33.67,24.67,22.0,18.67
15,East Midlands,Glycopeptides,2021-11-01,35.0,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.37,11,38.33,42.67,43.67,43.33,40.67,41.33,39.67,41.33,36.67,33.67,24.67,22.0
16,East Midlands,Glycopeptides,2021-12-01,31.0,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.41,12,35.0,38.33,42.67,43.67,43.33,40.67,41.33,39.67,41.33,36.67,33.67,24.67
17,East Midlands,Glycopeptides,2022-01-01,29.67,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.41,1,31.0,35.0,38.33,42.67,43.67,43.33,40.67,41.33,39.67,41.33,36.67,33.67
18,East Midlands,Glycopeptides,2022-02-01,25.0,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.43,2,29.67,31.0,35.0,38.33,42.67,43.67,43.33,40.67,41.33,39.67,41.33,36.67
19,East Midlands,Glycopeptides,2022-03-01,24.33,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.46,3,25.0,29.67,31.0,35.0,38.33,42.67,43.67,43.33,40.67,41.33,39.67,41.33
20,East Midlands,Glycopeptides,2022-04-01,27.0,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.48,4,24.33,25.0,29.67,31.0,35.0,38.33,42.67,43.67,43.33,40.67,41.33,39.67
21,East Midlands,Glycopeptides,2022-05-01,29.0,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.5,5,27.0,24.33,25.0,29.67,31.0,35.0,38.33,42.67,43.67,43.33,40.67,41.33
22,East Midlands,Glycopeptides,2022-06-01,29.67,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.51,6,29.0,27.0,24.33,25.0,29.67,31.0,35.0,38.33,42.67,43.67,43.33,40.67
23,East Midlands,Glycopeptides,2022-07-01,25.33,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.52,7,29.67,29.0,27.0,24.33,25.0,29.67,31.0,35.0,38.33,42.67,43.67,43.33
24,East Midlands,Glycopeptides,2022-08-01,25.0,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.53,8,25.33,29.67,29.0,27.0,24.33,25.0,29.67,31.0,35.0,38.33,42.67,43.67
25,East Midlands,Glycopeptides,2022-09-01,27.33,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.52,9,25.0,25.33,29.67,29.0,27.0,24.33,25.0,29.67,31.0,35.0,38.33,42.67
26,East Midlands,Glycopeptides,2022-10-01,31.33,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.52,10,27.33,25.0,25.33,29.67,29.0,27.0,24.33,25.0,29.67,31.0,35.0,38.33
27,East Midlands,Glycopeptides,2022-11-01,33.33,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.53,11,31.33,27.33,25.0,25.33,29.67,29.0,27.0,24.33,25.0,29.67,31.0,35.0
28,East Midlands,Glycopeptides,2022-12-01,31.33,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.6,12,33.33,31.33,27.33,25.0,25.33,29.67,29.0,27.0,24.33,25.0,29.67,31.0
29,East Midlands,Glycopeptides,2023-01-01,27.33,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.65,1,31.33,33.33,31.33,27.33,25.0,25.33,29.67,29.0,27.0,24.33,25.0,29.67
30,East Midlands,Glycopeptides,2023-02-01,23.67,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.68,2,27.33,31.33,33.33,31.33,27.33,25.0,25.33,29.67,29.0,27.0,24.33,25.0
31,East Midlands,Glycopeptides,2023-03-01,23.33,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.7,3,23.67,27.33,31.33,33.33,31.33,27.33,25.0,25.33,29.67,29.0,27.0,24.33
32,East Midlands,Glycopeptides,2023-04-01,25.33,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.71,4,23.33,23.67,27.33,31.33,33.33,31.33,27.33,25.0,25.33,29.67,29.0,27.0
33,East Midlands,Glycopeptides,2023-05-01,27.0,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.71,5,25.33,23.33,23.67,27.33,31.33,33.33,31.33,27.33,25.0,25.33,29.67,29.0
34,East Midlands,Glycopeptides,2023-06-01,30.33,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.72,6,27.0,25.33,23.33,23.67,27.33,31.33,33.33,31.33,27.33,25.0,25.33,29.67
35,East Midlands,Glycopeptides,2023-07-01,29.33,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.71,7,30.33,27.0,25.33,23.33,23.67,27.33,31.33,33.33,31.33,27.33,25.0,25.33
36,East Midlands,Glycopeptides,2023-08-01,30.67,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.72,8,29.33,30.33,27.0,25.33,23.33,23.67,27.33,31.33,33.33,31.33,27.33,25.0
37,East Midlands,Glycopeptides,2023-09-01,28.33,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.72,9,30.67,29.33,30.33,27.0,25.33,23.33,23.67,27.33,31.33,33.33,31.33,27.33
38,East Midlands,Glycopeptides,2023-10-01,27.67,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.72,10,28.33,30.67,29.33,30.33,27.0,25.33,23.33,23.67,27.33,31.33,33.33,31.33
39,East Midlands,Glycopeptides,2023-11-01,24.33,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.72,11,27.67,28.33,30.67,29.33,30.33,27.0,25.33,23.33,23.67,27.33,31.33,33.33
40,East Midlands,Glycopeptides,2023-12-01,24.0,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.66,12,24.33,27.67,28.33,30.67,29.33,30.33,27.0,25.33,23.33,23.67,27.33,31.33
41,East Midlands,Glycopeptides,2024-01-01,25.0,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.65,1,24.0,24.33,27.67,28.33,30.67,29.33,30.33,27.0,25.33,23.33,23.67,27.33
42,East Midlands,Glycopeptides,2024-02-01,26.33,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.65,2,25.0,24.0,24.33,27.67,28.33,30.67,29.33,30.33,27.0,25.33,23.33,23.67
43,East Midlands,Glycopeptides,2024-03-01,28.0,e_faecalis,e_faecalis__Glycopeptides__East Midlands,Midlands,1.64,3,26.33,25.0,24.0,24.33,27.67,28.33,30.67,29.33,30.33,27.0,25.33,23.33
