model,n_estimators,max_depth,learning_rate,mean_mae,mean_rmse,n_series
LightGBM,100,8,0.1,0.14205,0.17668,25
LightGBM,100,6,0.1,0.14205,0.17668,25
LightGBM,200,4,0.05,0.14392,0.1775,25
LightGBM,200,8,0.05,0.14392,0.1775,25
LightGBM,300,8,0.05,0.14401,0.17786,25
LightGBM,300,6,0.05,0.14401,0.17786,25
LightGBM,100,8,0.05,0.14724,0.18159,25
LightGBM,200,4,0.01,0.15173,0.18768,25
LightGBM,200,4,0.01,0.15173,0.18768,25
LightGBM,200,4,0.01,0.15173,0.18768,25
XGBoost,200,6,0.1,0.00846,0.01881,25
XGBoost,300,4,0.1,0.00926,0.01822,25
XGBoost,200,4,0.1,0.00926,0.01822,25
XGBoost,100,4,0.1,0.00978,0.01865,25
XGBoost,200,4,0.05,0.01064,0.02173,25
XGBoost,300,4,0.05,0.01102,0.02268,25
XGBoost,300,8,0.05,0.0119,0.02483,25
XGBoost,100,4,0.05,0.0215,0.03509,25
XGBoost,100,8,0.05,0.02514,0.05,25
XGBoost,100,6,0.01,0.11775,0.15236,25
