,date,prescribing_rate,model_region
1,2014-01-01,1.925149824,East of England
14,2014-02-01,1.916657411,East of England
27,2014-03-01,1.919445641,East of England
40,2014-04-01,1.9188496,East of England
53,2014-05-01,1.924074629,East of England
66,2014-06-01,1.931401281,East of England
79,2014-07-01,1.933348862,East of England
92,2014-08-01,1.929014023,East of England
105,2014-09-01,1.933084901,East of England
118,2014-10-01,1.929056597,East of England
131,2014-11-01,1.921452052,East of England
144,2014-12-01,1.940021417,East of England
157,2015-01-01,1.918376923,East of England
171,2015-02-01,1.919739604,East of England
185,2015-03-01,1.923140883,East of England
199,2015-04-01,1.914386868,East of England
213,2015-05-01,1.898500681,East of England
227,2015-06-01,1.891954184,East of England
241,2015-07-01,1.883840561,East of England
255,2015-08-01,1.878321409,East of England
269,2015-09-01,1.872010708,East of England
283,2015-10-01,1.865790367,East of England
297,2015-11-01,1.864633083,East of England
311,2015-12-01,1.837049961,East of England
325,2016-01-01,1.798074722,East of England
340,2016-02-01,1.802169204,East of England
355,2016-03-01,1.807535052,East of England
370,2016-04-01,1.81292522,East of England
385,2016-05-01,1.816954017,East of England
400,2016-06-01,1.81999445,East of England
415,2016-07-01,1.820462823,East of England
430,2016-08-01,1.830102801,East of England
445,2016-09-01,1.828858018,East of England
460,2016-10-01,1.823360324,East of England
475,2016-11-01,1.832223892,East of England
490,2016-12-01,1.841560125,East of England
505,2017-01-01,1.84,East of England
521,2017-02-01,1.83,East of England
537,2017-03-01,1.82,East of England
553,2017-04-01,1.8,East of England
569,2017-05-01,1.8,East of England
585,2017-06-01,1.8,East of England
601,2017-07-01,1.79,East of England
617,2017-08-01,1.79,East of England
633,2017-09-01,1.79,East of England
649,2017-10-01,1.79,East of England
665,2017-11-01,1.78,East of England
681,2017-12-01,1.77,East of England
697,2018-01-01,1.76,East of England
713,2018-02-01,1.76,East of England
729,2018-03-01,1.75,East of England
745,2018-04-01,1.76,East of England
761,2018-05-01,1.75,East of England
777,2018-06-01,1.74,East of England
793,2018-07-01,1.74,East of England
809,2018-08-01,1.73,East of England
825,2018-09-01,1.72,East of England
841,2018-10-01,1.72,East of England
857,2018-11-01,1.71,East of England
873,2018-12-01,1.69,East of England
889,2019-01-01,1.66,East of England
905,2019-02-01,1.66,East of England
921,2019-03-01,1.64,East of England
937,2019-04-01,1.64,East of England
