model,n_rnn_layers,hidden_dim,dropout,n_epochs,mean_mae,mean_rmse,n_series
GRU,1,128,0.1,10,0.21011,0.25064,25
GRU,1,128,0.3,10,0.21011,0.25064,25
GRU,2,64,0.1,30,0.22161,0.26292,25
GRU,2,64,0.2,30,0.22213,0.26331,25
GRU,2,128,0.2,10,0.23386,0.28176,25
GRU,1,32,0.2,20,0.23467,0.27553,25
GRU,2,128,0.3,30,0.24109,0.29023,25
GRU,3,128,0.1,10,0.24543,0.28728,25
GRU,3,128,0.1,30,0.24679,0.29486,25
GRU,3,32,0.2,10,0.26161,0.30575,25
LSTM,1,64,0.1,20,0.21404,0.25627,25
LSTM,3,128,0.2,30,0.21531,0.25845,25
LSTM,2,32,0.3,20,0.21926,0.25803,25
LSTM,1,128,0.3,30,0.21977,0.26441,25
LSTM,3,64,0.1,20,0.23305,0.27438,25
LSTM,3,64,0.2,20,0.23346,0.27483,25
LSTM,1,32,0.2,10,0.24025,0.28036,25
LSTM,2,128,0.2,10,0.25149,0.29891,25
LSTM,3,64,0.1,10,0.28194,0.32403,25
LSTM,3,64,0.3,10,0.28205,0.3241,25
