,geography,stratum,date,resistance_pct,organism
0,East Midlands,Glycopeptides,2020-08-01,22.67,e_faecalis
1,East Midlands,Glycopeptides,2020-09-01,20.67,e_faecalis
2,East Midlands,Glycopeptides,2020-10-01,18.67,e_faecalis
3,East Midlands,Glycopeptides,2020-11-01,22.0,e_faecalis
4,East Midlands,Glycopeptides,2020-12-01,24.67,e_faecalis
5,East Midlands,Glycopeptides,2021-01-01,33.67,e_faecalis
6,East Midlands,Glycopeptides,2021-02-01,36.67,e_faecalis
7,East Midlands,Glycopeptides,2021-03-01,41.33,e_faecalis
8,East Midlands,Glycopeptides,2021-04-01,39.67,e_faecalis
9,East Midlands,Glycopeptides,2021-05-01,41.33,e_faecalis
10,East Midlands,Glycopeptides,2021-06-01,40.67,e_faecalis
11,East Midlands,Glycopeptides,2021-07-01,43.33,e_faecalis
12,East Midlands,Glycopeptides,2021-08-01,43.67,e_faecalis
13,East Midlands,Glycopeptides,2021-09-01,42.67,e_faecalis
14,East Midlands,Glycopeptides,2021-10-01,38.33,e_faecalis
15,East Midlands,Glycopeptides,2021-11-01,35.0,e_faecalis
16,East Midlands,Glycopeptides,2021-12-01,31.0,e_faecalis
17,East Midlands,Glycopeptides,2022-01-01,29.67,e_faecalis
18,East Midlands,Glycopeptides,2022-02-01,25.0,e_faecalis
19,East Midlands,Glycopeptides,2022-03-01,24.33,e_faecalis
20,East Midlands,Glycopeptides,2022-04-01,27.0,e_faecalis
21,East Midlands,Glycopeptides,2022-05-01,29.0,e_faecalis
22,East Midlands,Glycopeptides,2022-06-01,29.67,e_faecalis
23,East Midlands,Glycopeptides,2022-07-01,25.33,e_faecalis
24,East Midlands,Glycopeptides,2022-08-01,25.0,e_faecalis
25,East Midlands,Glycopeptides,2022-09-01,27.33,e_faecalis
26,East Midlands,Glycopeptides,2022-10-01,31.33,e_faecalis
27,East Midlands,Glycopeptides,2022-11-01,33.33,e_faecalis
28,East Midlands,Glycopeptides,2022-12-01,31.33,e_faecalis
29,East Midlands,Glycopeptides,2023-01-01,27.33,e_faecalis
30,East Midlands,Glycopeptides,2023-02-01,23.67,e_faecalis
31,East Midlands,Glycopeptides,2023-03-01,23.33,e_faecalis
32,East Midlands,Glycopeptides,2023-04-01,25.33,e_faecalis
33,East Midlands,Glycopeptides,2023-05-01,27.0,e_faecalis
34,East Midlands,Glycopeptides,2023-06-01,30.33,e_faecalis
35,East Midlands,Glycopeptides,2023-07-01,29.33,e_faecalis
36,East Midlands,Glycopeptides,2023-08-01,30.67,e_faecalis
37,East Midlands,Glycopeptides,2023-09-01,28.33,e_faecalis
38,East Midlands,Glycopeptides,2023-10-01,27.67,e_faecalis
39,East Midlands,Glycopeptides,2023-11-01,24.33,e_faecalis
40,East Midlands,Glycopeptides,2023-12-01,24.0,e_faecalis
41,East Midlands,Glycopeptides,2024-01-01,25.0,e_faecalis
42,East Midlands,Glycopeptides,2024-02-01,26.33,e_faecalis
43,East Midlands,Glycopeptides,2024-03-01,28.0,e_faecalis
44,East Midlands,Glycopeptides,2024-04-01,25.67,e_faecalis
45,East Midlands,Glycopeptides,2024-05-01,24.0,e_faecalis
46,East Midlands,Glycopeptides,2024-06-01,27.33,e_faecalis
47,East Midlands,Glycopeptides,2024-07-01,29.0,e_faecalis
48,East Midlands,Glycopeptides,2024-08-01,32.33,e_faecalis
49,East Midlands,Glycopeptides,2024-09-01,31.0,e_faecalis
50,East Midlands,Glycopeptides,2024-10-01,36.67,e_faecalis
51,East Midlands,Glycopeptides,2024-11-01,38.67,e_faecalis
52,East Midlands,Glycopeptides,2024-12-01,38.0,e_faecalis
53,East Midlands,Glycopeptides,2025-01-01,33.33,e_faecalis
54,East Midlands,Glycopeptides,2025-02-01,33.67,e_faecalis
55,East Midlands,Glycopeptides,2025-03-01,31.33,e_faecalis
56,East Midlands,Glycopeptides,2025-04-01,31.67,e_faecalis
57,East Midlands,Glycopeptides,2025-05-01,31.67,e_faecalis
58,East Midlands,Glycopeptides,2025-06-01,29.0,e_faecalis
